index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
   87   4161.529    22.1 1.083  -2.09  3.055  0.082    80.637     3.770 0.174  0.040  0.167 -0.049  0.027 0.181 0.100 0.222 20.266
   89   4171.904    22.1 2.596   -0.3  3.146  0.112    83.474     4.582 0.216  0.007  0.166 -0.054  0.022 0.176 0.100 0.231 18.674
   90   4173.921    26.0 0.989  -3.29  5.267  0.077    70.493     3.354 0.179  0.172 -0.044 -0.034 -0.024 0.182 0.100 0.222 20.333
   91   4174.913    26.0 0.914  -2.94  5.359  0.079    93.570     3.169 0.170  0.170 -0.065 -0.076 -0.040 0.201 0.100 0.238 17.623
   92   4178.855    26.1 2.583  -2.51  5.062  0.062    74.070     2.932 0.172  0.008  0.177 -0.042  0.026 0.184 0.100 0.218 20.974
   93   4184.312    22.1 1.079  -2.49  3.097  0.056    62.989     3.065 0.174  0.045  0.172 -0.031  0.030 0.183 0.100 0.216 21.456
   94   4187.039    26.0 2.450  -0.56  5.026  0.080   102.650     3.405 0.162  0.132 -0.094 -0.078 -0.029 0.182 0.100 0.223 20.167
   95   4199.095    26.0 3.045   0.17  4.813  0.081    93.355     3.005 0.162  0.111 -0.056 -0.073 -0.027 0.147 0.100 0.195 26.263
   97   4216.184    26.0 0.000  -3.36  5.412  0.101   123.586     3.484 0.175  0.214 -0.076 -0.118 -0.072 0.266 0.100 0.301 11.003
   99   4233.603    26.0 2.482   -0.6  4.930  0.078    95.945     3.314 0.165  0.129 -0.081 -0.071 -0.027 0.170 0.100 0.212 22.194
  100   4250.787    26.0 1.556  -0.71  4.974  0.069   139.296     3.440 0.186  0.169 -0.124 -0.094 -0.043 0.234 0.100 0.263 14.413
  101   4282.403    26.0 2.174  -0.78  5.041  0.081   106.724     2.981 0.170  0.142 -0.059 -0.092 -0.036 0.183 0.100 0.224 20.013
  102   4283.011    20.0 1.886 -0.224  4.557  0.074    93.142     3.030 0.178  0.098 -0.063 -0.061 -0.019 0.133 0.100 0.182 30.182
  103   4287.403    22.0 0.835  -0.37  2.778  0.050    30.368     2.540 0.148  0.139 -0.043 -0.007 -0.011 0.146 0.100 0.184 29.550
  105   4291.463    26.0 0.052  -4.08  5.457  0.077    96.209     3.190 0.161  0.200 -0.065 -0.074 -0.062 0.231 0.100 0.264 14.394
  106   4295.749    22.0 0.812  -0.42  2.747  0.048    27.773     2.344 0.136  0.140 -0.043 -0.006 -0.011 0.147 0.100 0.184 29.489
  111   4316.794    22.1 2.046  -1.62  2.980  0.046    41.180     2.622 0.173  0.024  0.179 -0.011  0.029 0.183 0.100 0.214 21.884
  112   4318.652    20.0 1.899  -0.21  4.408  0.074    86.564     3.338 0.182  0.086 -0.061 -0.057 -0.027 0.123 0.100 0.175 32.710
  115   4326.753    26.0 2.947  -1.81  5.124  0.076    19.989     2.969 0.159  0.109 -0.029 -0.004 -0.007 0.113 0.100 0.169 35.009
  116   4330.238    22.1 2.046  -1.64  2.836  0.048    32.374     2.511 0.166  0.026  0.179 -0.008  0.030 0.184 0.100 0.214 21.746
  117   4330.698    22.1 1.179  -2.09  3.173  0.062    82.581     2.893 0.181  0.042  0.169 -0.048  0.028 0.183 0.100 0.217 21.160
  118   4331.642    28.0 1.675  -2.27  3.881  0.045    23.972     1.992 0.125  0.136 -0.027 -0.006 -0.008 0.139 0.100 0.177 31.897
  120   4344.502    24.0 1.003  -0.65  3.194  0.064    71.084     3.082 0.178  0.136 -0.053 -0.038 -0.020 0.152 0.100 0.193 26.849
  121   4350.838    22.1 2.060   -1.7  2.960  0.058    34.944     3.153 0.168  0.024  0.178 -0.010  0.029 0.182 0.100 0.216 21.475
  124   4367.903    26.0 1.607  -2.88  5.315  0.061    56.800     3.211 0.175  0.147 -0.039 -0.022 -0.016 0.154 0.100 0.194 26.601
  125    4375.93    26.0 0.000   -3.0  5.201  0.084   132.297     3.262 0.174  0.223 -0.089 -0.114 -0.082 0.278 0.100 0.307 10.590
  127   4389.245    26.0 0.052  -4.55  5.290  0.045    67.999     2.415 0.151  0.192 -0.053 -0.039 -0.029 0.205 0.100 0.233 18.498
  128   4394.059    22.1 1.220  -1.77  2.825  0.059    79.439     2.920 0.156  0.040  0.169 -0.045  0.028 0.182 0.100 0.216 21.528
  130   4395.839    22.1 1.242  -1.93  2.817  0.036    69.442     1.911 0.152  0.040  0.172 -0.032  0.030 0.182 0.100 0.211 22.520
  131   4399.765    22.1 1.236   -1.2  3.119  0.057   116.375     2.574 0.180  0.042  0.154 -0.094  0.018 0.186 0.100 0.219 20.881
  132   4401.541    28.0 3.191   0.06  3.965  0.054    56.468     2.963 0.178  0.098 -0.029 -0.022 -0.009 0.105 0.100 0.155 41.794
  134   4409.235    22.1 1.242  -2.78  3.189  0.042    42.111     2.482 0.210  0.042  0.176 -0.013  0.032 0.184 0.100 0.214 21.883
  135   4409.518    22.1 1.230  -2.53  3.046  0.048    49.113     2.869 0.174  0.042  0.173 -0.014  0.030 0.181 0.100 0.212 22.176
  136   4411.073    22.1 3.092  -0.65  2.949  0.045    26.948     2.088 0.133  0.002  0.181 -0.008  0.023 0.183 0.100 0.213 22.034
  137    4411.93    22.1 1.223  -2.62  2.958  0.033    39.349     1.905 0.140  0.042  0.176 -0.012  0.032 0.184 0.100 0.212 22.223
  139   4416.818    26.1 2.778  -2.57  5.188  0.036    67.837     2.059 0.164  0.000  0.182 -0.036  0.026 0.187 0.100 0.215 21.555
  140   4418.331    22.1 1.236  -1.99  3.022  0.067    77.523     3.352 0.179  0.040  0.170 -0.049  0.028 0.184 0.100 0.219 20.758
  141   4421.938    22.1 2.060  -1.64  2.862  0.044    33.263     2.292 0.171  0.024  0.178 -0.008  0.029 0.182 0.100 0.212 22.172
  143   4425.437    20.0 1.879 -0.358  4.108  0.051    66.710     2.653 0.158  0.092 -0.046 -0.026 -0.013 0.107 0.100 0.155 41.620
  145    4427.31    26.0 0.052  -2.92  5.489  0.076   144.837     3.028 0.188  0.229 -0.111 -0.129 -0.094 0.300 0.100 0.326  9.433
  146   4432.096    22.1 1.236  -3.08  2.820  0.067    13.402     1.856 0.097  0.043  0.180 -0.002  0.033 0.188 0.100 0.223 20.067
  151   4442.339    26.0 2.196  -1.23  5.168  0.056    97.442     2.568 0.180  0.138 -0.062 -0.065 -0.030 0.167 0.100 0.203 24.301
  152   4443.801    22.1 1.079  -0.71  3.159  0.071   145.535     2.863 0.198  0.056  0.113 -0.126  0.013 0.179 0.100 0.217 21.280
  153   4444.554    22.1 1.115   -2.2  3.015  0.064    74.597     2.876 0.173  0.043  0.179 -0.031  0.029 0.189 0.100 0.223 20.085
  154   4447.717    26.0 2.221  -1.36  5.167  0.055    90.091     2.537 0.168  0.135 -0.057 -0.058 -0.027 0.160 0.100 0.196 25.911
  155   4449.142    22.0 1.886   0.47  2.641  0.077    11.244     1.921 0.116  0.110 -0.035 -0.002 -0.008 0.116 0.100 0.171 34.103
  156   4450.482    22.1 1.083  -1.52  3.167  0.069   113.442     2.880 0.195  0.030  0.159 -0.093  0.002 0.187 0.100 0.223 20.163
  157   4450.894    22.0 1.878   0.32  2.842  0.080    12.743     2.212 0.181  0.112 -0.035 -0.002 -0.007 0.118 0.100 0.174 33.087
  158   4453.313    22.0 1.429  -0.03  2.719  0.059    14.296     1.748 0.106  0.123 -0.038 -0.002 -0.008 0.129 0.100 0.174 33.197
  160   4454.779    20.0 1.899  0.258  4.442  0.059   111.723     2.754 0.203  0.104 -0.113 -0.070 -0.024 0.170 0.100 0.206 23.506
  161   4455.317    22.0 1.442    0.1  2.729  0.047    18.215     1.697 0.121  0.123 -0.039 -0.004 -0.009 0.129 0.100 0.170 34.534
  162   4455.887    20.0 1.899 -0.518  4.173  0.035    60.313     2.059 0.155  0.092 -0.042 -0.021 -0.012 0.104 0.100 0.148 45.374
  163   4457.427    22.0 1.459   0.26  2.774  0.046    25.544     2.133 0.143  0.123 -0.040 -0.006 -0.010 0.130 0.100 0.170 34.504
  165   4461.653    26.0 0.087  -3.19  5.433  0.071   131.410     2.804 0.182  0.220 -0.087 -0.121 -0.090 0.281 0.100 0.306 10.666
  167   4468.493    22.1 1.130  -0.63  3.273  0.071   151.416     3.028 0.206  0.059  0.096 -0.124  0.014 0.168 0.100 0.208 23.089
  168   4469.151    22.1 1.083  -2.55  3.210  0.056    68.225     2.670 0.197  0.051  0.180 -0.023  0.031 0.191 0.100 0.223 20.150
  169   4470.477    28.0 3.396   -0.3  3.829  0.041    19.878     1.553 0.154  0.091 -0.018 -0.005 -0.005 0.093 0.100 0.143 49.171
  170   4471.237    22.0 1.732  -0.15  3.334  0.073    18.681     2.712 0.230  0.115 -0.037 -0.003 -0.008 0.121 0.100 0.173 33.337
  173    4484.22    26.0 3.600  -0.64  4.887  0.048    27.486     2.294 0.150  0.093 -0.027 -0.007 -0.007 0.097 0.100 0.148 45.912
  174   4488.324    22.1 3.121   -0.5  2.888  0.050    29.760     2.459 0.172  0.002  0.181 -0.006  0.024 0.183 0.100 0.214 21.797
  175   4489.739    26.0 0.121   -3.9  5.440  0.069   102.037     2.871 0.174  0.201 -0.062 -0.080 -0.055 0.232 0.100 0.262 14.613
  176     4491.4    26.1 2.856  -2.71  4.978  0.039    43.930     2.271 0.161  0.004  0.186 -0.014  0.027 0.189 0.100 0.217 21.250
  177   4493.522    22.1 1.079  -2.78  2.908  0.038    37.712     2.157 0.145  0.046  0.176 -0.008  0.033 0.185 0.100 0.214 21.887
  178   4494.563    26.0 2.196  -1.14  5.155  0.054   101.610     2.520 0.187  0.139 -0.064 -0.067 -0.031 0.170 0.100 0.204 23.933
  180    4501.27    22.1 1.115  -0.77  3.112  0.077   140.639     3.167 0.198  0.051  0.129 -0.128  0.009 0.189 0.100 0.227 19.366
  181   4508.281    26.1 2.856  -2.42  5.244  0.047    74.305     2.209 0.181  0.002  0.184 -0.039  0.026 0.190 0.100 0.220 20.718
  182   4512.734    22.0 0.835   -0.4  2.775  0.034    29.769     1.689 0.138  0.141 -0.043 -0.006 -0.012 0.148 0.100 0.182 30.242
  183   4515.334    26.1 2.844   -2.6  5.284  0.056    67.925     2.838 0.188  0.003  0.186 -0.032  0.027 0.191 0.100 0.222 20.204
  184   4518.022    22.0 0.825  -0.25  2.675  0.037    32.920     1.930 0.125  0.142 -0.044 -0.007 -0.012 0.149 0.100 0.183 29.706
  185   4518.332    22.1 1.079  -2.56  2.998  0.040    56.193     2.450 0.166  0.047  0.176 -0.018  0.032 0.186 0.100 0.215 21.676
  186   4520.221    26.1 2.807  -2.65  5.084  0.041    56.573     2.306 0.147  0.004  0.184 -0.022  0.027 0.187 0.100 0.216 21.383
  188   4527.304    22.0 0.812  -0.45  2.859  0.039    32.990     2.051 0.147  0.141 -0.045 -0.007 -0.012 0.149 0.100 0.183 29.743
  190    4529.48    22.1 1.571  -1.75  3.204  0.055    79.348     2.756 0.200  0.033  0.171 -0.043  0.027 0.181 0.100 0.214 21.770
  191   4531.148    26.0 1.484   -2.1  5.332  0.066   103.766     2.757 0.195  0.162 -0.061 -0.076 -0.040 0.193 0.100 0.227 19.343
  192   4533.239    22.0 0.848   0.54  2.687  0.053    76.719     2.732 0.183  0.143 -0.057 -0.039 -0.025 0.161 0.100 0.197 25.871
  193   4534.776    22.0 0.835   0.35  2.560  0.038    60.058     2.210 0.155  0.142 -0.050 -0.022 -0.017 0.153 0.100 0.187 28.668
  194   4535.569    22.0 0.825   0.14  2.876  0.046    66.738     2.510 0.187  0.143 -0.051 -0.034 -0.026 0.158 0.100 0.192 27.028
  195   4544.687    22.0 0.818  -0.45  2.795  0.044    29.459     2.200 0.139  0.141 -0.044 -0.006 -0.011 0.148 0.100 0.184 29.489
  196   4545.133    22.1 1.130  -2.45  3.013  0.042    60.242     2.479 0.174  0.045  0.174 -0.021  0.032 0.184 0.100 0.213 21.963
  198   4548.764    22.0 0.825  -0.28  2.809  0.051    38.627     2.687 0.173  0.141 -0.042 -0.008 -0.012 0.148 0.100 0.186 29.023
  199   4555.483    22.0 0.848   -0.4  2.679  0.054    24.686     2.450 0.121  0.140 -0.044 -0.004 -0.011 0.147 0.100 0.186 28.910
  200   4555.888    26.1 2.828   -2.4  5.154  0.061    72.805     3.108 0.184  0.003  0.182 -0.038  0.027 0.188 0.100 0.221 20.397
  201   4558.644    24.1 4.070  -0.43  3.294  0.044    43.598     2.208 0.215 -0.016  0.188 -0.012  0.021 0.190 0.100 0.219 20.781
  202   4571.096    12.0 0.000 -5.623  5.903  0.063   109.629     2.430 0.184  0.190 -0.044 -0.046 -0.047 0.206 0.100 0.237 17.752
  203   4571.971    22.1 1.571  -0.31  3.105  0.077   137.451     3.184 0.194  0.041  0.134 -0.121  0.014 0.186 0.100 0.225 19.840
  204   4576.328    26.1 2.844  -2.95  5.187  0.034    43.473     1.974 0.156  0.005  0.186 -0.015  0.028 0.189 0.100 0.216 21.373
  206   4582.835    26.1 2.844  -3.18  5.184  0.045    30.973     2.226 0.182  0.007  0.187 -0.010  0.028 0.189 0.100 0.219 20.865
  207   4583.409    22.1 1.164  -2.84  3.083  0.041    38.953     2.349 0.163  0.046  0.178 -0.008  0.034 0.187 0.100 0.216 21.412
  208   4583.829    26.1 2.807  -1.94  5.386  0.055   107.277     2.607 0.208  0.005  0.169 -0.072  0.021 0.185 0.100 0.217 21.170
  209   4588.198    24.1 4.068  -0.65  3.220  0.049    28.806     2.140 0.161 -0.016  0.188 -0.006  0.020 0.190 0.100 0.220 20.645
  210   4591.391    24.0 0.968  -1.74  2.798  0.069     8.352     1.304 0.075  0.136 -0.040 -0.001 -0.008 0.142 0.100 0.187 28.634
  212   4592.651    26.0 1.556  -2.46  5.327  0.061    84.517     2.621 0.179  0.154 -0.048 -0.052 -0.029 0.172 0.100 0.208 23.102
  213   4600.749    24.0 1.003  -1.25  2.989  0.069    28.806     3.419 0.121  0.135 -0.042 -0.006 -0.010 0.142 0.100 0.187 28.664
  214     4602.0    26.0 1.607  -3.13  5.130  0.038    33.775     2.064 0.147  0.148 -0.036 -0.007 -0.012 0.153 0.100 0.187 28.704
  215   4602.941    26.0 1.484  -2.21  5.277  0.055    96.628     2.340 0.170  0.162 -0.057 -0.085 -0.038 0.195 0.100 0.226 19.536
  216   4604.988    28.0 3.477  -0.24  3.864  0.067    20.252     2.576 0.192  0.090 -0.015 -0.003 -0.003 0.091 0.100 0.151 43.796
  218   4607.647    26.0 3.263  -1.33  5.022  0.054    21.066     2.127 0.158  0.104 -0.027 -0.003 -0.005 0.108 0.100 0.157 40.823
  220   4616.124    24.0 0.982  -1.19  3.043  0.033    35.994     1.801 0.160  0.136 -0.043 -0.008 -0.011 0.143 0.100 0.178 31.626
  221   4617.269    22.0 1.748   0.44  2.690  0.066    16.618     2.254 0.162  0.116 -0.037 -0.005 -0.007 0.122 0.100 0.171 34.181
  222   4619.288    26.0 3.600  -1.06  5.192  0.063    22.921     2.670 0.177  0.094 -0.024 -0.005 -0.005 0.097 0.100 0.153 42.677
  223   4620.513    26.1 2.828  -3.21  5.080  0.041    25.743     1.850 0.157  0.008  0.187 -0.006  0.028 0.189 0.100 0.218 21.037
