index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ----- ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  4.012  0.104   136.228     7.161 0.194  0.188 -0.159 -0.069  0.007 0.256 0.100 0.294 11.594
   29   3900.539    22.1 1.130  -0.29  3.277  0.164   126.383     7.217 0.176  0.054  0.042 -0.105  0.050 0.135 0.100 0.235 18.148
   31   3904.783    22.0 0.899   0.15  2.776  0.089    44.316     4.418 0.097  0.136 -0.030 -0.018 -0.016 0.141 0.100 0.195 26.387
   34   3917.181    26.0 0.989  -2.15  5.470  0.116   107.780     5.126 0.160  0.175 -0.093 -0.091 -0.027 0.220 0.100 0.268 13.939
   35    3924.53    22.0 0.021  -0.87  3.027  0.102    57.367     4.480 0.133  0.162 -0.037 -0.032 -0.025 0.171 0.100 0.223 20.134
   37   3941.275    26.0 3.263  -1.03  5.436  0.116    46.828     5.490 0.134  0.097 -0.023 -0.024 -0.013 0.103 0.100 0.185 29.291
   38   3943.341    26.0 2.196  -2.35  5.719  0.122    55.685     5.087 0.171  0.127 -0.023 -0.036 -0.018 0.135 0.100 0.208 23.168
   40   3948.097    26.0 3.241  -0.59  5.280  0.117    60.357     4.623 0.158  0.102 -0.030 -0.042 -0.016 0.115 0.100 0.192 27.017
   43   3958.205    22.0 0.048  -0.11  3.286  0.135    94.840     4.753 0.170  0.175 -0.074 -0.092 -0.040 0.215 0.100 0.273 13.442
   45   3977.741    26.0 2.196  -1.12  5.287  0.165    85.155     5.335 0.139  0.139 -0.050 -0.097 -0.030 0.179 0.100 0.263 14.418
   46   3981.991    22.1 0.573  -2.54  3.762  0.191    89.602     6.366 0.195  0.043  0.165 -0.090  0.033 0.196 0.100 0.291 11.800
   48   3987.606    22.1 0.607  -2.73  3.257  0.091    62.439     3.552 0.135  0.039  0.189 -0.035  0.040 0.200 0.100 0.242 17.138
   49   3989.758    22.0 0.021  -0.13  3.741  0.121   113.661     5.318 0.176  0.182 -0.125 -0.092 -0.029 0.241 0.100 0.288 12.092
   50   3998.636    22.0 0.048   0.02  3.248  0.128    99.158     4.727 0.144  0.178 -0.090 -0.093 -0.037 0.223 0.100 0.276 13.126
   51   4001.661    26.0 2.174   -1.9  5.462  0.065    65.235     2.527 0.136  0.132 -0.028 -0.051 -0.022 0.146 0.100 0.188 28.154
   53   4008.927    22.0 0.021   -1.0  3.283  0.078    63.860     3.309 0.135  0.164 -0.043 -0.041 -0.028 0.177 0.100 0.217 21.144
   55   4025.129    22.1 0.607  -2.11  3.830  0.170   105.424     5.686 0.182  0.047  0.134 -0.113  0.035 0.185 0.100 0.270 13.687
   56   4028.338    22.1 1.890  -0.92  3.580  0.117    86.218     3.852 0.159  0.018  0.163 -0.080  0.031 0.185 0.100 0.241 17.258
   57   4030.185    26.0 2.196  -2.31  5.333  0.053    40.180     2.645 0.132  0.124 -0.017 -0.016 -0.013 0.127 0.100 0.170 34.602
   58   4032.627    26.0 1.484  -2.38  5.687  0.116    87.062     4.259 0.158  0.159 -0.061 -0.083 -0.030 0.192 0.100 0.245 16.598
   59   4053.821    22.1 1.891  -1.07  3.573  0.094    80.840     3.363 0.159  0.015  0.169 -0.072  0.031 0.187 0.100 0.232 18.598
   60   4056.187    22.1 0.607  -3.28  3.678  0.079    56.939     3.672 0.178  0.039  0.184 -0.038  0.036 0.195 0.100 0.233 18.396
   63   4067.978    26.0 3.209  -0.53  5.184  0.089    62.021     3.797 0.145  0.105 -0.039 -0.041 -0.015 0.120 0.100 0.180 30.889
   64   4070.771    26.0 3.239  -0.87  5.401  0.064    54.903     2.847 0.127  0.102 -0.029 -0.030 -0.013 0.111 0.100 0.163 37.863
   65   4073.762    26.0 3.263  -0.97  5.567  0.062    56.691     2.799 0.123  0.100 -0.033 -0.035 -0.015 0.112 0.100 0.162 37.902
   68   4080.209    26.0 3.281  -1.18  5.179  0.055    27.493     2.422 0.110  0.097 -0.012 -0.008 -0.008 0.098 0.100 0.151 44.039
   69   4084.492    26.0 3.329  -0.54  5.634  0.090    74.250     3.557 0.168  0.108 -0.063 -0.060 -0.017 0.140 0.100 0.194 26.579
   70   4098.176    26.0 3.239  -0.97  5.348  0.060    47.811     2.910 0.144  0.098 -0.023 -0.025 -0.014 0.105 0.100 0.157 40.725
   71   4102.936    14.0 1.909 -3.336  6.337  0.101   113.415     5.111 0.190  0.133 -0.055 -0.059 -0.011 0.156 0.100 0.211 22.463
   72   4104.114    26.0 3.263  -1.27  5.675  0.065    47.556     3.110 0.150  0.100 -0.018 -0.023 -0.012 0.105 0.100 0.159 39.646
   73   4114.938    26.0 3.368  -1.45  5.174  0.092    14.285     2.671 0.119  0.093 -0.007 -0.002 -0.007 0.094 0.100 0.165 36.743
   74   4118.545    26.0 3.571   0.27  5.442  0.111    85.459     4.005 0.161  0.104 -0.059 -0.083 -0.024 0.148 0.100 0.210 22.684
   75   4120.206    26.0 2.988  -1.23  5.501  0.066    56.288     2.815 0.128  0.109 -0.021 -0.033 -0.015 0.117 0.100 0.167 35.723
   76   4121.802    26.0 2.829  -1.28  5.369  0.073    56.245     3.155 0.150  0.112 -0.023 -0.034 -0.017 0.120 0.100 0.173 33.503
   79   4139.927    26.0 0.989  -3.51  5.496  0.057    59.742     2.400 0.122  0.164 -0.029 -0.038 -0.024 0.173 0.100 0.207 23.252
   82   4147.669    26.0 1.484  -2.07  5.347  0.089    86.832     3.173 0.134  0.162 -0.057 -0.086 -0.033 0.195 0.100 0.236 17.889
   83   4150.249    26.0 3.428  -1.19  5.469  0.053    32.760     2.528 0.124  0.094 -0.013 -0.011 -0.009 0.096 0.100 0.148 45.419
   86   4158.792    26.0 3.428   -0.7  5.286  0.058    47.753     2.807 0.120  0.097 -0.024 -0.024 -0.013 0.104 0.100 0.155 41.502
   87   4161.529    22.1 1.083  -2.09  3.355  0.074    71.175     3.036 0.151  0.032  0.178 -0.052  0.037 0.192 0.100 0.229 19.136
   89   4171.904    22.1 2.596   -0.3  3.814  0.184    88.765     6.524 0.199 -0.001  0.152 -0.087  0.028 0.177 0.100 0.274 13.278
   90   4173.921    26.0 0.989  -3.29  5.597  0.095    73.174     3.384 0.155  0.169 -0.034 -0.063 -0.031 0.186 0.100 0.232 18.631
   92   4178.855    26.1 2.583  -2.51  5.421  0.068    69.165     2.667 0.144 -0.003  0.188 -0.052  0.035 0.198 0.100 0.232 18.550
   93   4184.312    22.1 1.079  -2.49  3.600  0.062    65.038     2.645 0.151  0.030  0.181 -0.043  0.039 0.192 0.100 0.226 19.656
   94   4187.039    26.0 2.450  -0.56  5.268  0.074   102.189     3.526 0.148  0.144 -0.133 -0.074 -0.011 0.210 0.100 0.244 16.807
   95   4199.095    26.0 3.045   0.17  5.594  0.075   111.254     3.289 0.174  0.131 -0.121 -0.091 -0.016 0.201 0.100 0.237 17.868
   97   4216.184    26.0 0.000  -3.36  5.640  0.093   114.908     3.523 0.165  0.222 -0.104 -0.116 -0.041 0.274 0.100 0.306 10.651
   99   4233.603    26.0 2.482   -0.6  5.297  0.065   100.714     2.995 0.150  0.143 -0.127 -0.073 -0.012 0.205 0.100 0.237 17.769
  100   4250.787    26.0 1.556  -0.71  5.312  0.050   146.069     3.856 0.187  0.174 -0.180 -0.060  0.001 0.257 0.100 0.281 12.694
  101   4282.403    26.0 2.174  -0.78  5.647  0.075   115.131     3.093 0.173  0.157 -0.113 -0.106 -0.025 0.222 0.100 0.255 15.407
  103   4287.403    22.0 0.835  -0.37  3.158  0.052    44.023     2.547 0.151  0.139 -0.029 -0.015 -0.018 0.144 0.100 0.183 29.926
  105   4291.463    26.0 0.052  -4.08  5.962  0.082   100.452     2.983 0.188  0.215 -0.075 -0.101 -0.048 0.254 0.100 0.285 12.333
  106   4295.749    22.0 0.812  -0.42  3.039  0.043    36.667     2.191 0.126  0.139 -0.030 -0.013 -0.017 0.144 0.100 0.180 30.742
  111   4316.794    22.1 2.046  -1.62  3.308  0.046    39.168     2.407 0.134  0.008  0.186 -0.017  0.037 0.191 0.100 0.220 20.646
  112   4318.652    20.0 1.899  -0.21  4.728  0.072    91.467     2.952 0.166  0.108 -0.092 -0.067 -0.022 0.158 0.100 0.201 24.823
  113    4320.95    22.1 1.164  -1.88  3.886  0.120    97.019     4.147 0.174  0.038  0.160 -0.093  0.034 0.192 0.100 0.247 16.327
  115   4326.753    26.0 2.947  -1.81  5.553  0.096    34.488     4.514 0.204  0.107 -0.011 -0.009 -0.011 0.108 0.100 0.176 32.270
  116   4330.238    22.1 2.046  -1.64  3.277  0.049    36.696     2.445 0.159  0.011  0.191 -0.012  0.038 0.195 0.100 0.225 19.766
  117   4330.698    22.1 1.179  -2.09  3.396  0.053    69.678     2.244 0.140  0.029  0.181 -0.048  0.040 0.194 0.100 0.224 19.874
  118   4331.642    28.0 1.675  -2.27  4.132  0.051    29.422     2.221 0.134  0.130  0.001 -0.009 -0.009 0.131 0.100 0.172 33.710
  119   4337.046    26.0 1.556   -1.7  5.787  0.060   118.878     2.947 0.181  0.173 -0.120 -0.087 -0.024 0.229 0.100 0.257 15.134
  120   4344.502    24.0 1.003  -0.65  3.602  0.083    78.263     3.174 0.164  0.144 -0.050 -0.075 -0.038 0.174 0.100 0.217 21.189
  121   4350.838    22.1 2.060   -1.7  3.651  0.080    51.899     3.716 0.220  0.010  0.190 -0.025  0.037 0.195 0.100 0.234 18.317
  123   4358.501    26.0 2.947  -1.57  5.666  0.064    52.037     3.122 0.161  0.110 -0.019 -0.026 -0.015 0.116 0.100 0.166 36.418
  125    4375.93    26.0 0.000   -3.0  5.475  0.079   125.717     3.384 0.162  0.229 -0.126 -0.110 -0.036 0.286 0.100 0.313 10.209
  127   4389.245    26.0 0.052  -4.55  5.647  0.056    72.275     2.277 0.133  0.198 -0.033 -0.058 -0.038 0.212 0.100 0.241 17.171
  128   4394.059    22.1 1.220  -1.77  3.707  0.076    93.008     2.629 0.162  0.033  0.168 -0.083  0.033 0.193 0.100 0.230 18.844
