index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  4.190  0.117   145.800     8.808  0.183  0.191 -0.188 -0.064  0.012 0.276 0.100 0.316 10.025
   27   3882.287    22.1 1.115  -1.87  3.512  0.159    82.374     5.923  0.161  0.050  0.170 -0.066  0.028 0.191 0.100 0.268 13.923
   29   3900.539    22.1 1.130  -0.29  2.894  0.220   117.205     8.552  0.168  0.062  0.095 -0.108  0.025 0.159 0.100 0.289 11.968
   31   3904.783    22.0 0.899   0.15  3.199  0.103    58.587     5.140  0.133  0.127 -0.026 -0.028  0.002 0.133 0.100 0.195 26.176
   35    3924.53    22.0 0.021  -0.87  3.047  0.104    50.004     5.385  0.122  0.149 -0.023 -0.019  0.004 0.152 0.100 0.210 22.767
   36   3940.878    26.0 0.957  -2.49  5.563  0.217    98.946     8.726  0.146  0.156 -0.072 -0.086 -0.014 0.193 0.100 0.307 10.615
   38   3943.341    26.0 2.196  -2.35  5.668  0.108    47.437     5.456  0.127  0.120 -0.013 -0.019  0.004 0.122 0.100 0.191 27.314
   40   3948.097    26.0 3.241  -0.59  5.219  0.083    54.628     4.065  0.100  0.095 -0.017 -0.026  0.003 0.100 0.100 0.164 37.190
   41   3949.953    26.0 2.174  -1.25  5.109  0.122    74.341     4.695  0.130  0.118 -0.025 -0.058 -0.005 0.134 0.100 0.207 23.352
   42   3955.341    26.0 3.281  -1.05  5.410  0.065    38.441     3.467  0.123  0.094 -0.013 -0.012  0.006 0.096 0.100 0.153 42.715
   43   3958.205    22.0 0.048  -0.11  2.932  0.115    79.451     4.555  0.151  0.148 -0.042 -0.061 -0.008 0.166 0.100 0.225 19.732
   48   3987.606    22.1 0.607  -2.73  3.348  0.096    64.183     4.589  0.153  0.065  0.175 -0.033  0.037 0.193 0.100 0.238 17.691
   49   3989.758    22.0 0.021  -0.13  3.241  0.119    92.738     4.638  0.161  0.152 -0.068 -0.077 -0.013 0.184 0.100 0.241 17.245
   50   3998.636    22.0 0.048   0.02  2.877  0.090    83.126     3.595  0.136  0.149 -0.051 -0.064 -0.011 0.170 0.100 0.217 21.222
   51   4001.661    26.0 2.174   -1.9  5.265  0.074    51.752     3.828  0.123  0.116 -0.015 -0.026 -0.001 0.120 0.100 0.173 33.518
   53   4008.927    22.0 0.021   -1.0  3.093  0.057    46.028     3.273  0.135  0.148 -0.027 -0.016  0.003 0.151 0.100 0.190 27.664
   55   4025.129    22.1 0.607  -2.11  3.382  0.116    92.575     4.436  0.171  0.065  0.160 -0.077  0.025 0.191 0.100 0.245 16.712
   56   4028.338    22.1 1.890  -0.92  3.769  0.123    96.217     4.569  0.195  0.031  0.147 -0.087  0.021 0.175 0.100 0.236 17.950
   57   4030.185    26.0 2.196  -2.31  5.446  0.076    38.411     3.815  0.134  0.121 -0.008 -0.012  0.006 0.122 0.100 0.175 32.614
   58   4032.627    26.0 1.484  -2.38  5.531  0.117    79.277     4.739  0.175  0.139 -0.042 -0.061 -0.006 0.158 0.100 0.220 20.605
   59   4053.821    22.1 1.891  -1.07  3.162  0.075    64.854     3.579  0.136  0.034  0.174 -0.035  0.030 0.183 0.100 0.222 20.332
   60   4056.187    22.1 0.607  -3.28  3.156  0.078    25.938     3.505  0.118  0.067  0.182 -0.004  0.041 0.198 0.100 0.235 18.052
