index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ----- ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  3.730  0.181   117.959     9.150 0.178  0.180 -0.148 -0.097 -0.018 0.253 0.100 0.327  9.363
   27   3882.287    22.1 1.115  -1.87  3.012  0.130    64.388     5.319 0.118  0.042  0.171 -0.046  0.037 0.186 0.100 0.248 16.289
   29   3900.539    22.1 1.130  -0.29  2.407  0.199    98.754     6.491 0.122  0.054  0.132 -0.112  0.033 0.184 0.100 0.289 11.965
   31   3904.783    22.0 0.899   0.15  2.784  0.114    40.868     5.851 0.135  0.117 -0.029 -0.020 -0.016 0.123 0.100 0.195 26.190
   34   3917.181    26.0 0.989  -2.15  5.343  0.157   100.085     6.232 0.140  0.165 -0.093 -0.098 -0.025 0.215 0.100 0.284 12.383
   35    3924.53    22.0 0.021  -0.87  2.518  0.076    28.372     3.536 0.098  0.143 -0.027 -0.007 -0.016 0.147 0.100 0.193 26.838
   36   3940.878    26.0 0.957  -2.49  5.118  0.198    81.322     7.022 0.140  0.157 -0.055 -0.083 -0.025 0.188 0.100 0.291 11.849
   40   3948.097    26.0 3.241  -0.59  5.174  0.119    54.019     5.119 0.153  0.091 -0.024 -0.032 -0.010 0.100 0.100 0.185 29.289
   41   3949.953    26.0 2.174  -1.25  5.120  0.146    74.160     5.065 0.134  0.122 -0.038 -0.077 -0.018 0.150 0.100 0.232 18.554
   42   3955.341    26.0 3.281  -1.05  5.304  0.081    36.293     3.985 0.157  0.087 -0.016 -0.015 -0.008 0.090 0.100 0.157 40.525
   43   3958.205    22.0 0.048  -0.11  2.461  0.153    61.092     6.602 0.125  0.144 -0.038 -0.043 -0.023 0.157 0.100 0.241 17.251
   45   3977.741    26.0 2.196  -1.12  5.106  0.151    77.570     5.089 0.123  0.124 -0.044 -0.081 -0.019 0.156 0.100 0.239 17.533
   48   3987.606    22.1 0.607  -2.73  2.862  0.072    45.875     3.730 0.119  0.054  0.178 -0.019  0.040 0.191 0.100 0.227 19.325
   49   3989.758    22.0 0.021  -0.13  2.632  0.104    69.384     3.978 0.151  0.150 -0.044 -0.053 -0.022 0.167 0.100 0.220 20.599
   50   3998.636    22.0 0.048   0.02  2.801  0.115    80.300     4.240 0.151  0.150 -0.062 -0.076 -0.029 0.182 0.100 0.237 17.798
   51   4001.661    26.0 2.174   -1.9  5.004  0.067    42.042     3.346 0.119  0.113 -0.020 -0.020 -0.013 0.117 0.100 0.168 35.426
   53   4008.927    22.0 0.021   -1.0  2.955  0.080    43.938     4.165 0.188  0.142 -0.031 -0.018 -0.019 0.148 0.100 0.195 26.170
