index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   25   3865.523    26.0 1.010  -0.95  4.339  0.231    99.544     9.268  0.138  0.155 -0.084 -0.089 -0.003 0.198 0.100 0.320  9.768
   28   3887.048    26.0 0.914  -1.09  4.241  0.278    94.852    10.678  0.150  0.155 -0.069 -0.087 -0.003 0.191 0.100 0.352  8.087
   29   3900.539    22.1 1.130  -0.29  2.039  0.220    83.276     8.172  0.131  0.060  0.164 -0.074  0.010 0.190 0.100 0.307 10.585
   33    3906.48    26.0 0.110  -2.21  4.446  0.222    93.215     7.707  0.132  0.171 -0.064 -0.097 -0.006 0.207 0.100 0.319  9.797
   34   3917.181    26.0 0.989  -2.15  4.461  0.103    58.180     4.853  0.130  0.154 -0.003 -0.031  0.013 0.158 0.100 0.213 21.995
   36   3940.878    26.0 0.957  -2.49  4.757  0.128    57.949     6.110  0.124  0.155 -0.004 -0.030  0.014 0.159 0.100 0.227 19.409
   41   3949.953    26.0 2.174  -1.25  4.694  0.085    48.766     4.402  0.091  0.126  0.007 -0.021  0.014 0.129 0.100 0.184 29.596
   43   3958.205    22.0 0.048  -0.11  2.437  0.100    47.961     5.162  0.122  0.155 -0.002 -0.017  0.016 0.157 0.100 0.211 22.434
   45   3977.741    26.0 2.196  -1.12  4.505  0.099    44.597     5.196  0.095  0.126  0.008 -0.018  0.014 0.128 0.100 0.190 27.577
   49   3989.758    22.0 0.021  -0.13  1.937  0.106    23.712     4.657  0.098  0.158  0.001 -0.006  0.021 0.160 0.100 0.216 21.423
   50   3998.636    22.0 0.048   0.02  2.418  0.092    54.127     4.782  0.133  0.154 -0.010 -0.023  0.015 0.157 0.100 0.207 23.237
   55   4025.129    22.1 0.607  -2.11  2.106  0.114    28.769     5.648  0.136  0.085  0.191 -0.007  0.031 0.211 0.100 0.260 14.768
   56   4028.338    22.1 1.890  -0.92  2.346  0.088    28.608     4.263  0.108  0.054  0.193 -0.006  0.026 0.202 0.100 0.242 17.058
   74   4118.545    26.0 3.571   0.27  4.539  0.078    40.981     3.932  0.122  0.092  0.009 -0.014  0.011 0.094 0.100 0.158 40.085
   77   4132.058    26.0 1.607  -0.68  4.568  0.108    96.409     4.304  0.149  0.138 -0.084 -0.085 -0.008 0.183 0.100 0.235 18.164
   81   4143.868    26.0 1.556  -0.51  4.398  0.112    98.727     4.394  0.161  0.142 -0.089 -0.085 -0.007 0.188 0.100 0.241 17.270
   82   4147.669    26.0 1.484  -2.07  4.639  0.061    44.582     3.126  0.133  0.146  0.003 -0.014  0.018 0.148 0.100 0.189 28.116
   84   4152.169    26.0 0.957  -3.16  4.823  0.083    28.502     3.997  0.145  0.160  0.005 -0.007  0.021 0.162 0.100 0.207 23.253
   85     4153.9    26.0 3.397  -0.28  4.627  0.088    27.930     4.168  0.126  0.097  0.007 -0.009  0.012 0.098 0.100 0.166 36.459
   87   4161.529    22.1 1.083  -2.09  2.495  0.095    23.845     4.174  0.125  0.071  0.191 -0.005  0.029 0.206 0.100 0.248 16.283
   89   4171.904    22.1 2.596   -0.3  2.206  0.108    17.292     3.805  0.114  0.034  0.196 -0.003  0.021 0.200 0.100 0.248 16.211
   91   4174.913    26.0 0.914  -2.94  4.804  0.094    41.005     5.171  0.199  0.155  0.000 -0.018  0.014 0.157 0.100 0.208 23.051
   92   4178.855    26.1 2.583  -2.51  4.411  0.064    20.474     2.496  0.090  0.034  0.200 -0.006  0.022 0.204 0.100 0.236 17.930
   93   4184.312    22.1 1.079  -2.49  2.592  0.070    13.640     2.019 -0.085  0.072  0.190 -0.003  0.028 0.205 0.100 0.239 17.551
   94   4187.039    26.0 2.450  -0.56  4.493  0.066    60.387     3.337  0.152  0.119 -0.024 -0.030  0.008 0.125 0.100 0.173 33.269
   95   4199.095    26.0 3.045   0.17  4.482  0.066    62.475     3.172  0.124  0.099 -0.010 -0.038  0.001 0.107 0.100 0.160 38.906
   97   4216.184    26.0 0.000  -3.36  4.818  0.103    72.450     4.324  0.134  0.178 -0.018 -0.050  0.007 0.186 0.100 0.235 18.127
   98   4233.163    26.1 2.583  -2.02  4.610  0.070    54.439     3.683  0.138  0.031  0.193 -0.024  0.018 0.198 0.100 0.232 18.515
   99   4233.603    26.0 2.482   -0.6  4.477  0.063    55.959     3.324  0.126  0.118 -0.017 -0.026  0.009 0.122 0.100 0.170 34.554
  100   4250.787    26.0 1.556  -0.71  4.401  0.110    92.042     4.243  0.137  0.138 -0.069 -0.080 -0.008 0.174 0.100 0.229 19.095
