index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  4.120  0.118   140.071     7.776  0.179  0.178 -0.154 -0.071  0.005 0.246 0.100 0.291 11.850
   29   3900.539    22.1 1.130  -0.29  3.507  0.169   137.918     8.547  0.176  0.039  0.027 -0.100  0.042 0.118 0.100 0.229 19.020
   31   3904.783    22.0 0.899   0.15  3.401  0.128    69.980     5.375  0.166  0.142 -0.033 -0.047 -0.014 0.154 0.100 0.224 19.983
   34   3917.181    26.0 0.989  -2.15  5.520  0.115   109.278     4.995  0.144  0.171 -0.081 -0.090 -0.023 0.211 0.100 0.260 14.780
   35    3924.53    22.0 0.021  -0.87  3.136  0.099    57.950     4.849  0.108  0.163 -0.029 -0.032 -0.012 0.169 0.100 0.220 20.670
   40   3948.097    26.0 3.241  -0.59  5.320  0.114    60.988     4.927  0.113  0.105 -0.020 -0.036 -0.008 0.113 0.100 0.189 27.947
   41   3949.953    26.0 2.174  -1.25  5.558  0.140    91.149     4.871  0.151  0.141 -0.046 -0.096 -0.023 0.178 0.100 0.248 16.302
   43   3958.205    22.0 0.048  -0.11  3.230  0.125    92.390     4.563  0.139  0.173 -0.054 -0.081 -0.028 0.200 0.100 0.257 15.194
   45   3977.741    26.0 2.196  -1.12  5.351  0.158    87.964     5.495  0.164  0.140 -0.041 -0.089 -0.026 0.173 0.100 0.255 15.422
   48   3987.606    22.1 0.607  -2.73  3.477  0.131    68.592     5.756  0.134  0.028  0.183 -0.049  0.037 0.195 0.100 0.255 15.336
   49   3989.758    22.0 0.021  -0.13  3.643  0.134   109.373     5.445  0.169  0.178 -0.094 -0.091 -0.028 0.223 0.100 0.278 12.896
   50   3998.636    22.0 0.048   0.02  2.872  0.113    84.646     4.223  0.128  0.171 -0.046 -0.066 -0.024 0.190 0.100 0.243 16.932
   51   4001.661    26.0 2.174   -1.9  5.630  0.081    70.567     3.311  0.134  0.134 -0.024 -0.052 -0.014 0.146 0.100 0.195 26.320
   53   4008.927    22.0 0.021   -1.0  3.468  0.082    68.534     3.643  0.146  0.166 -0.033 -0.041 -0.017 0.175 0.100 0.218 21.124
   55   4025.129    22.1 0.607  -2.11  3.655  0.145   100.156     5.106  0.163  0.033  0.163 -0.097  0.031 0.195 0.100 0.263 14.481
   56   4028.338    22.1 1.890  -0.92  3.391  0.125    79.430     4.680  0.147  0.006  0.181 -0.060  0.031 0.193 0.100 0.251 15.877
   57   4030.185    26.0 2.196  -2.31  5.537  0.059    46.124     3.086  0.130  0.128 -0.011 -0.017 -0.005 0.130 0.100 0.174 33.002
   58   4032.627    26.0 1.484  -2.38  5.667  0.118    85.712     4.528  0.150  0.158 -0.045 -0.072 -0.020 0.180 0.100 0.238 17.700
   59   4053.821    22.1 1.891  -1.07  3.207  0.076    65.143     3.442  0.149  0.003  0.182 -0.038  0.033 0.189 0.100 0.227 19.439
   60   4056.187    22.1 0.607  -3.28  3.486  0.060    41.568     3.336  0.135  0.022  0.185 -0.016  0.040 0.191 0.100 0.224 19.934
   62   4063.276    26.0 3.368  -0.81  5.620  0.100    58.940     4.625  0.156  0.102 -0.018 -0.031 -0.005 0.108 0.100 0.178 31.531
   63   4067.978    26.0 3.209  -0.53  5.354  0.075    68.573     3.323  0.128  0.110 -0.037 -0.042 -0.006 0.124 0.100 0.176 32.368
   64   4070.771    26.0 3.239  -0.87  5.399  0.067    52.574     3.413  0.107  0.104 -0.020 -0.023 -0.006 0.109 0.100 0.162 38.065
   65   4073.762    26.0 3.263  -0.97  5.533  0.064    52.957     3.237  0.130  0.103 -0.020 -0.023 -0.004 0.107 0.100 0.160 38.985
   68   4080.209    26.0 3.281  -1.18  5.463  0.076    37.466     3.849  0.111  0.099 -0.010 -0.012 -0.002 0.100 0.100 0.161 38.721
   70   4098.176    26.0 3.239  -0.97  5.561  0.065    55.956     3.195  0.131  0.105 -0.021 -0.026 -0.004 0.110 0.100 0.162 37.902
   71   4102.936    14.0 1.909 -3.336  6.244  0.097   107.450     4.679  0.177  0.130 -0.032 -0.057 -0.008 0.146 0.100 0.202 24.602
   75   4120.206    26.0 2.988  -1.23  5.544  0.061    55.988     3.045  0.133  0.110 -0.017 -0.028 -0.007 0.115 0.100 0.164 37.114
   76   4121.802    26.0 2.829  -1.28  5.623  0.094    65.720     4.102  0.155  0.117 -0.021 -0.043 -0.011 0.127 0.100 0.187 28.623
   78   4133.856    26.0 3.366  -1.13  5.818  0.068    53.689     3.459  0.133  0.101 -0.021 -0.025 -0.007 0.106 0.100 0.161 38.549
   79   4139.927    26.0 0.989  -3.51  5.578  0.053    59.149     2.574  0.128  0.162 -0.021 -0.031 -0.012 0.167 0.100 0.201 24.631
   82   4147.669    26.0 1.484  -2.07  5.382  0.085    87.602     3.235  0.142  0.160 -0.044 -0.076 -0.023 0.184 0.100 0.226 19.582
   83   4150.249    26.0 3.428  -1.19  5.788  0.081    45.648     4.152  0.211  0.098 -0.015 -0.016 -0.002 0.100 0.100 0.163 37.522
   85     4153.9    26.0 3.397  -0.28  5.500  0.095    77.722     4.156  0.158  0.110 -0.057 -0.051 -0.007 0.134 0.100 0.192 27.009
   86   4158.792    26.0 3.428   -0.7  5.520  0.067    57.120     3.352  0.142  0.100 -0.025 -0.028 -0.006 0.107 0.100 0.161 38.558
   87   4161.529    22.1 1.083  -2.09  3.487  0.072    74.676     3.155  0.145  0.019  0.180 -0.049  0.035 0.191 0.100 0.227 19.390
   91   4174.913    26.0 0.914  -2.94  5.686  0.092    91.265     3.415  0.134  0.178 -0.046 -0.086 -0.033 0.206 0.100 0.246 16.461
   92   4178.855    26.1 2.583  -2.51  5.458  0.066    69.998     2.942  0.135 -0.012  0.191 -0.048  0.032 0.200 0.100 0.233 18.413
   93   4184.312    22.1 1.079  -2.49  3.504  0.060    56.940     2.858  0.129  0.017  0.191 -0.024  0.038 0.197 0.100 0.229 19.087
   94   4187.039    26.0 2.450  -0.56  5.562  0.074   116.915     4.155  0.157  0.142 -0.152 -0.067 -0.001 0.219 0.100 0.251 15.814
   95   4199.095    26.0 3.045   0.17  5.299  0.084   101.156     3.274  0.165  0.127 -0.073 -0.089 -0.019 0.172 0.100 0.216 21.369
   97   4216.184    26.0 0.000  -3.36  5.713  0.103   117.007     3.981  0.157  0.209 -0.088 -0.109 -0.042 0.255 0.100 0.293 11.671
   98   4233.163    26.1 2.583  -2.02  5.665  0.075   100.251     3.262  0.173 -0.006  0.162 -0.075  0.029 0.181 0.100 0.220 20.673
   99   4233.603    26.0 2.482   -0.6  5.455  0.071   108.289     3.530  0.157  0.142 -0.128 -0.070 -0.006 0.204 0.100 0.238 17.691
  100   4250.787    26.0 1.556  -0.71  5.378  0.059   148.266     4.292  0.181  0.165 -0.172 -0.063  0.000 0.247 0.100 0.273 13.466
  101   4282.403    26.0 2.174  -0.78  5.699  0.102   118.575     4.271  0.173  0.153 -0.099 -0.100 -0.024 0.209 0.100 0.253 15.579
  103   4287.403    22.0 0.835  -0.37  3.378  0.058    50.666     2.930  0.158  0.146 -0.024 -0.018 -0.009 0.149 0.100 0.189 28.041
  105   4291.463    26.0 0.052  -4.08  5.857  0.086    95.008     3.229  0.150  0.204 -0.050 -0.088 -0.042 0.232 0.100 0.266 14.080
  106   4295.749    22.0 0.812  -0.42  3.154  0.053    37.137     2.661  0.128  0.143 -0.022 -0.008 -0.007 0.145 0.100 0.184 29.537
  111   4316.794    22.1 2.046  -1.62  3.495  0.047    44.397     2.629  0.151 -0.003  0.185 -0.019  0.032 0.189 0.100 0.219 20.908
  112   4318.652    20.0 1.899  -0.21  4.599  0.068    86.818     2.952  0.152  0.108 -0.065 -0.056 -0.014 0.139 0.100 0.184 29.546
  115   4326.753    26.0 2.947  -1.81  5.652  0.082    35.402     4.062  0.177  0.108 -0.007 -0.011 -0.003 0.109 0.100 0.169 35.004
  116   4330.238    22.1 2.046  -1.64  3.313  0.088    34.009     4.548  0.151 -0.001  0.189 -0.010  0.034 0.192 0.100 0.234 18.274
  117   4330.698    22.1 1.179  -2.09  3.366  0.063    65.390     2.985  0.135  0.016  0.186 -0.033  0.040 0.194 0.100 0.227 19.413
  118   4331.642    28.0 1.675  -2.27  4.458  0.049    40.061     2.641  0.150  0.130  0.001 -0.016 -0.003 0.131 0.100 0.172 33.820
  119   4337.046    26.0 1.556   -1.7  5.739  0.077   116.350     3.482  0.181  0.168 -0.096 -0.088 -0.024 0.214 0.100 0.248 16.210
  120   4344.502    24.0 1.003  -0.65  3.606  0.075    77.529     3.144  0.150  0.147 -0.035 -0.056 -0.019 0.162 0.100 0.205 23.834
  121   4350.838    22.1 2.060   -1.7  3.543  0.056    42.137     3.029  0.158 -0.002  0.187 -0.011  0.033 0.190 0.100 0.222 20.276
  123   4358.501    26.0 2.947  -1.57  5.655  0.052    48.221     2.742  0.158  0.111 -0.013 -0.022 -0.005 0.114 0.100 0.160 38.904
  124   4367.903    26.0 1.607  -2.88  5.788  0.053    67.009     2.524  0.154  0.151 -0.021 -0.041 -0.014 0.158 0.100 0.195 26.365
  125    4375.93    26.0 0.000   -3.0  5.482  0.081   125.003     3.354  0.163  0.210 -0.106 -0.110 -0.045 0.264 0.100 0.293 11.625
  127   4389.245    26.0 0.052  -4.55  5.791  0.065    74.335     2.885  0.141  0.197 -0.025 -0.050 -0.034 0.208 0.100 0.239 17.447
  128   4394.059    22.1 1.220  -1.77  3.499  0.069    84.468     2.671  0.151  0.022  0.185 -0.058  0.035 0.198 0.100 0.233 18.498
  130   4395.839    22.1 1.242  -1.93  3.325  0.049    68.091     2.367  0.123  0.011  0.185 -0.037  0.038 0.193 0.100 0.223 20.177
  131   4399.765    22.1 1.236   -1.2  3.809  0.071   118.063     2.768  0.174  0.027  0.131 -0.103  0.029 0.171 0.100 0.211 22.532
