index wavelength species expot  loggf logeps e_stat       eqw     e_eqw  fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  114   4326.351    22.0 0.825  -1.26  4.013  0.057    27.183     2.667 0.140  0.126 -0.001 -0.010  0.004 0.126 0.100 0.171 34.196
  118   4331.642    28.0 1.675  -2.27  5.004  0.038    56.453     1.937 0.130  0.114  0.035 -0.036  0.010 0.125 0.100 0.165 36.952
  125    4375.93    26.0 0.000   -3.0  6.314  0.048   150.520     2.871 0.177  0.179 -0.160 -0.115  0.026 0.267 0.100 0.290 11.926
  128   4394.059    22.1 1.220  -1.77  4.195  0.087    95.776     3.215 0.160  0.007  0.200 -0.102  0.052 0.231 0.100 0.266 14.139
  130   4395.839    22.1 1.242  -1.93  4.123  0.071    85.703     2.654 0.160  0.004  0.210 -0.084  0.053 0.232 0.100 0.263 14.488
  136   4411.073    22.1 3.092  -0.65  4.233  0.040    56.949     1.915 0.153 -0.028  0.213 -0.036  0.042 0.222 0.100 0.247 16.444
  137    4411.93    22.1 1.223  -2.62  4.180  0.046    58.251     2.099 0.153  0.003  0.220 -0.035  0.053 0.229 0.100 0.254 15.489
  138   4415.123    26.0 1.607  -0.62  6.211  0.018   233.873     3.534 0.291  0.137 -0.188 -0.025  0.044 0.238 0.100 0.259 14.926
  139   4416.818    26.1 2.778  -2.57  6.401  0.047    85.925     2.030 0.156 -0.028  0.208 -0.081  0.049 0.230 0.100 0.255 15.333
  140   4418.331    22.1 1.236  -1.99  4.270  0.050    89.491     2.010 0.156  0.005  0.204 -0.090  0.052 0.229 0.100 0.255 15.397
  141   4421.938    22.1 2.060  -1.64  4.022  0.053    53.173     2.448 0.161 -0.010  0.218 -0.030  0.047 0.225 0.100 0.252 15.737
  143   4425.437    20.0 1.879 -0.358  5.354  0.162   114.087     9.617 0.177  0.096 -0.133 -0.071  0.017 0.180 0.100 0.262 14.603
  146   4432.096    22.1 1.236  -3.08  4.223  0.040    35.594     2.062 0.160  0.006  0.214 -0.014  0.050 0.220 0.100 0.245 16.631
  151   4442.339    26.0 2.196  -1.23  6.394  0.033   138.154     2.551 0.195  0.125 -0.091 -0.067  0.013 0.169 0.100 0.199 25.218
  152   4443.801    22.1 1.079  -0.71  4.166  0.053   146.071     2.862 0.183  0.026  0.057 -0.121  0.062 0.150 0.100 0.188 28.393
  153   4444.554    22.1 1.115   -2.2  4.228  0.066    85.261     2.471 0.166  0.007  0.213 -0.080  0.054 0.234 0.100 0.263 14.474
  154   4447.717    26.0 2.221  -1.36  6.470  0.036   132.421     2.636 0.187  0.124 -0.085 -0.072  0.010 0.167 0.100 0.198 25.522
  155   4449.142    22.0 1.886   0.47  3.883  0.054    49.475     2.891 0.169  0.103 -0.003 -0.027  0.003 0.107 0.100 0.156 41.198
  158   4453.313    22.0 1.429  -0.03  3.938  0.039    52.932     2.084 0.143  0.114 -0.003 -0.027  0.003 0.117 0.100 0.159 39.580
  159   4453.699    22.0 1.872    0.1  3.754  0.041    25.198     1.785 0.148  0.102  0.002 -0.007  0.005 0.102 0.100 0.149 45.118
  160   4454.779    20.0 1.899  0.258  5.338  0.034   156.375     3.385 0.218  0.100 -0.211 -0.046  0.037 0.241 0.100 0.263 14.459
  161   4455.317    22.0 1.442    0.1  3.873  0.041    55.681     2.179 0.146  0.115 -0.001 -0.029  0.002 0.119 0.100 0.160 38.830
  162   4455.887    20.0 1.899 -0.518  5.378  0.041   105.901     2.155 0.162  0.094 -0.111 -0.072  0.012 0.163 0.100 0.195 26.201
  163   4457.427    22.0 1.459   0.26  4.370  0.055    85.588     2.352 0.182  0.119 -0.020 -0.079 -0.006 0.144 0.100 0.184 29.530
  166   4465.805    22.0 1.738  -0.13  3.814  0.053    24.250     2.279 0.124  0.105  0.000 -0.008  0.005 0.105 0.100 0.155 41.799
  167   4468.493    22.1 1.130  -0.63  4.239  0.046   152.188     2.691 0.202  0.028  0.042 -0.108  0.067 0.137 0.100 0.176 32.449
  169   4470.477    28.0 3.396   -0.3  4.775  0.040    48.955     2.087 0.156  0.074  0.025 -0.028  0.012 0.084 0.100 0.136 53.677
  170   4471.237    22.0 1.732  -0.15  4.123  0.039    38.388     2.100 0.138  0.105  0.001 -0.016  0.004 0.106 0.100 0.151 43.821
  173    4484.22    26.0 3.600  -0.64  6.034  0.050    69.442     2.289 0.143  0.086 -0.013 -0.053  0.008 0.102 0.100 0.151 43.594
  174   4488.324    22.1 3.121   -0.5  3.949  0.075    48.954     3.738 0.161 -0.032  0.211 -0.032  0.039 0.219 0.100 0.252 15.695
  176     4491.4    26.1 2.856  -2.71  6.237  0.052    69.136     2.250 0.155 -0.031  0.224 -0.056  0.050 0.238 0.100 0.264 14.393
  177   4493.522    22.1 1.079  -2.78  4.047  0.041    51.643     2.193 0.165  0.007  0.216 -0.027  0.054 0.224 0.100 0.249 16.121
  178   4494.563    26.0 2.196  -1.14  6.268  0.045   136.437     3.401 0.193  0.125 -0.086 -0.069  0.011 0.167 0.100 0.200 25.044
  180    4501.27    22.1 1.115  -0.77  4.247  0.050   146.293     2.663 0.196  0.025  0.060 -0.120  0.062 0.150 0.100 0.187 28.596
  181   4508.281    26.1 2.856  -2.42  6.382  0.055    88.548     2.430 0.167 -0.030  0.205 -0.083  0.049 0.229 0.100 0.255 15.328
