index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   29   3900.539    22.1 1.130  -0.29  3.547  0.139   134.876     7.277  0.171  0.049  0.028 -0.098  0.066 0.131 0.100 0.216 21.521
   31   3904.783    22.0 0.899   0.15  3.121  0.097    57.628     4.277  0.137  0.139 -0.028 -0.034 -0.015 0.147 0.100 0.202 24.452
   34   3917.181    26.0 0.989  -2.15  5.813  0.105   121.559     5.672  0.147  0.175 -0.100 -0.079 -0.004 0.217 0.100 0.261 14.726
   35    3924.53    22.0 0.021  -0.87  3.199  0.112    61.786     4.821  0.140  0.166 -0.031 -0.040 -0.020 0.175 0.100 0.230 18.846
   38   3943.341    26.0 2.196  -2.35  5.652  0.125    49.999     5.551  0.126  0.129 -0.003 -0.026 -0.008 0.132 0.100 0.207 23.247
   40   3948.097    26.0 3.241  -0.59  5.448  0.108    65.515     4.290  0.143  0.101 -0.030 -0.054 -0.013 0.119 0.100 0.189 27.893
   42   3955.341    26.0 3.281  -1.05  5.978  0.078    67.514     3.227  0.129  0.102 -0.045 -0.049 -0.007 0.122 0.100 0.176 32.296
   43   3958.205    22.0 0.048  -0.11  3.387  0.121    96.881     4.376  0.151  0.170 -0.065 -0.094 -0.029 0.207 0.100 0.260 14.827
   46   3981.991    22.1 0.573  -2.54  3.739  0.111    84.740     3.957  0.139  0.033  0.180 -0.079  0.049 0.205 0.100 0.254 15.515
   47   3986.753    12.0 4.346  -1.06  6.208  0.102    85.257     6.152  0.167  0.064 -0.096 -0.026  0.003 0.118 0.100 0.185 29.068
   48   3987.606    22.1 0.607  -2.73  3.395  0.077    62.553     3.100  0.122  0.033  0.201 -0.035  0.060 0.215 0.100 0.249 16.066
   50   3998.636    22.0 0.048   0.02  3.298  0.102    99.437     3.848  0.150  0.172 -0.078 -0.093 -0.026 0.212 0.100 0.256 15.291
   51   4001.661    26.0 2.174   -1.9  5.747  0.081    73.918     2.983  0.146  0.126 -0.026 -0.074 -0.025 0.151 0.100 0.198 25.500
   53   4008.927    22.0 0.021   -1.0  3.468  0.072    68.832     2.998  0.165  0.167 -0.032 -0.050 -0.021 0.178 0.100 0.217 21.259
   55   4025.129    22.1 0.607  -2.11  3.881  0.119   103.687     4.030  0.167  0.033  0.152 -0.112  0.045 0.197 0.100 0.251 15.892
   56   4028.338    22.1 1.890  -0.92  3.891  0.123    93.636     4.264  0.164  0.004  0.155 -0.093  0.038 0.185 0.100 0.243 16.874
   57   4030.185    26.0 2.196  -2.31  5.513  0.079    45.836     3.882  0.123  0.130 -0.005 -0.022 -0.007 0.132 0.100 0.184 29.674
   59   4053.821    22.1 1.891  -1.07  3.370  0.054    69.173     2.238  0.135  0.005  0.186 -0.051  0.045 0.198 0.100 0.228 19.170
   60   4056.187    22.1 0.607  -3.28  3.684  0.059    50.595     2.969  0.135  0.036  0.202 -0.023  0.056 0.214 0.100 0.243 16.878
