index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   29   3900.539    22.1 1.130  -0.29  1.900  0.360    58.770     9.664  0.154  0.067  0.175 -0.094  0.000 0.210 0.100 0.428  5.448
   33    3906.48    26.0 0.110  -2.21  4.996  0.237    87.167     9.751  0.168  0.276 -0.233 -0.117  0.003 0.380 0.100 0.459  4.754
   34   3917.181    26.0 0.989  -2.15  4.112  0.169    34.211     6.076 -0.059  0.203 -0.010 -0.027  0.009 0.205 0.100 0.284 12.394
   45   3977.741    26.0 2.196  -1.12  4.176  0.120    25.128     4.381  0.069  0.160 -0.001 -0.018  0.006 0.161 0.100 0.224 19.856
   50   3998.636    22.0 0.048   0.02  2.402  0.152    44.109     5.298  0.149  0.197 -0.030 -0.043  0.007 0.204 0.100 0.273 13.385
   54   4012.384    22.1 0.573  -1.78  1.901  0.147    29.988     5.747  0.113  0.097  0.207 -0.019  0.004 0.229 0.100 0.290 11.870
   80   4143.415    26.0 3.047  -0.21  4.447  0.122    34.894     4.538  0.142  0.134 -0.014 -0.030  0.005 0.138 0.100 0.210 22.747
   82   4147.669    26.0 1.484  -2.07  4.302  0.112    24.757     4.139  0.081  0.186 -0.006 -0.015  0.008 0.187 0.100 0.240 17.402
   85     4153.9    26.0 3.397  -0.28  4.409  0.133    17.812     4.310  0.102  0.125 -0.002 -0.009  0.005 0.125 0.100 0.208 23.028
   91   4174.913    26.0 0.914  -2.94  4.623  0.115    28.093     4.255  0.123  0.205 -0.007 -0.017  0.008 0.206 0.100 0.256 15.232
   94   4187.039    26.0 2.450  -0.56  4.846  0.163    61.180     5.769  0.181  0.174 -0.132 -0.074  0.007 0.231 0.100 0.300 11.136
   95   4199.095    26.0 3.045   0.17  4.841  0.149    60.253     4.351  0.146  0.138 -0.079 -0.094  0.006 0.185 0.100 0.258 15.070
   97   4216.184    26.0 0.000  -3.36  4.783  0.146    54.725     4.043  0.139  0.234 -0.047 -0.088  0.008 0.255 0.100 0.310 10.407
   98   4233.163    26.1 2.583  -2.02  4.240  0.096    28.153     3.587  0.114  0.031  0.216 -0.018  0.001 0.219 0.100 0.259 14.890
   99   4233.603    26.0 2.482   -0.6  4.498  0.144    46.688     5.127  0.163  0.161 -0.060 -0.046  0.007 0.178 0.100 0.250 16.020
  100   4250.787    26.0 1.556  -0.71  4.698  0.148    80.486     5.608  0.121  0.216 -0.186 -0.107  0.005 0.305 0.100 0.353  8.024
  101   4282.403    26.0 2.174  -0.78  4.150  0.129    38.938     4.583  0.114  0.163 -0.012 -0.037  0.007 0.168 0.100 0.234 18.257
  102   4283.011    20.0 1.886 -0.224  3.799  0.104    35.200     4.431  0.140  0.114 -0.020 -0.020  0.004 0.118 0.100 0.186 28.878
  104   4290.215    22.1 1.164  -0.87  2.010  0.108    45.191     3.928  0.118  0.075  0.195 -0.045  0.003 0.214 0.100 0.260 14.848
  105   4291.463    26.0 0.052  -4.08  4.741  0.108    26.826     4.107  0.128  0.236 -0.010 -0.015  0.010 0.237 0.100 0.279 12.856
  107   4300.042    22.1 1.179  -0.46  2.492  0.158    72.318     4.435  0.153  0.079  0.135 -0.118 -0.004 0.196 0.100 0.271 13.629
  108   4301.923    22.1 1.160  -1.21  2.114  0.106    36.313     4.283  0.118  0.078  0.204 -0.027  0.003 0.220 0.100 0.264 14.352
  112   4318.652    20.0 1.899  -0.21  3.378  0.085    19.104     2.926 -0.080  0.114 -0.005 -0.007  0.004 0.114 0.100 0.174 32.990
  125    4375.93    26.0 0.000   -3.0  5.160  0.179    76.083     5.332  0.159  0.255 -0.148 -0.135  0.000 0.324 0.100 0.384  6.794
  129   4395.031    22.1 1.083  -0.54  2.593  0.160    76.749     4.620  0.173  0.087  0.119 -0.124 -0.008 0.193 0.100 0.270 13.742
  131   4399.765    22.1 1.236   -1.2  2.073  0.079    32.123     3.117  0.137  0.077  0.206 -0.018  0.003 0.221 0.100 0.255 15.399
  138   4415.123    26.0 1.607  -0.62  4.794  0.117    87.523     5.098  0.144  0.224 -0.207 -0.095  0.005 0.319 0.100 0.355  7.951
  143   4425.437    20.0 1.879 -0.358  3.794  0.117    30.473     5.029  0.180  0.118 -0.022 -0.013  0.005 0.121 0.100 0.196 26.115
  145    4427.31    26.0 0.052  -2.92  4.576  0.163    60.663     4.403  0.145  0.231 -0.057 -0.106  0.006 0.261 0.100 0.323  9.574
  149   4435.679    20.0 1.886 -0.519  3.880  0.095    27.117     3.900  0.130  0.118 -0.018 -0.011  0.005 0.120 0.100 0.183 29.922
  152   4443.801    22.1 1.079  -0.71  2.606  0.158    72.812     4.530  0.138  0.083  0.138 -0.117 -0.005 0.199 0.100 0.273 13.403
  153   4444.554    22.1 1.115   -2.2  2.424  0.102    14.343     2.923  0.113  0.081  0.208 -0.006  0.003 0.223 0.100 0.265 14.230
  154   4447.717    26.0 2.221  -1.36  4.713  0.093    37.722     3.621  0.173  0.165 -0.021 -0.029  0.007 0.169 0.100 0.217 21.184
  156   4450.482    22.1 1.083  -1.52  2.378  0.101    38.743     4.051  0.164  0.081  0.203 -0.028  0.004 0.220 0.100 0.262 14.541
  160   4454.779    20.0 1.899  0.258  3.327  0.069    36.008     3.036  0.129  0.118 -0.032 -0.018  0.005 0.124 0.100 0.173 33.268
  162   4455.887    20.0 1.899 -0.518  3.847  0.086    25.343     3.422  0.149  0.117 -0.016 -0.010  0.005 0.119 0.100 0.177 31.779
  164   4459.117    26.0 2.174  -1.29  4.372  0.092    29.141     3.601  0.122  0.165 -0.011 -0.019  0.006 0.167 0.100 0.215 21.641
  165   4461.653    26.0 0.087  -3.19  5.081  0.128    66.548     3.545  0.120  0.239 -0.094 -0.119  0.003 0.283 0.100 0.326  9.389
  167   4468.493    22.1 1.130  -0.63  1.911  0.106    52.606     3.550  0.134  0.076  0.189 -0.060  0.002 0.212 0.100 0.258 15.074
  175   4489.739    26.0 0.121   -3.9  4.481  0.100    21.967     3.577  0.106  0.234 -0.009 -0.011  0.009 0.235 0.100 0.274 13.326
  178   4494.563    26.0 2.196  -1.14  4.445  0.126    37.083     4.916  0.159  0.165 -0.020 -0.029  0.007 0.169 0.100 0.233 18.385
  180    4501.27    22.1 1.115  -0.77  2.669  0.119    72.132     3.434  0.136  0.081  0.141 -0.113 -0.005 0.198 0.100 0.252 15.773
  181   4508.281    26.1 2.856  -2.42  4.581  0.110    16.686     3.390  0.136  0.024  0.219 -0.009  0.001 0.220 0.100 0.266 14.140
  183   4515.334    26.1 2.844   -2.6  4.899  0.080    21.438     2.805  0.100  0.024  0.217 -0.013  0.001 0.219 0.100 0.253 15.568
  189   4528.614    26.0 2.174  -0.89  4.441  0.092    47.550     3.325  0.121  0.167 -0.041 -0.049  0.006 0.179 0.100 0.225 19.813
  191   4531.148    26.0 1.484   -2.1  4.133  0.097    19.253     3.258  0.107  0.187 -0.006 -0.012  0.007 0.188 0.100 0.234 18.312
  192   4533.239    22.0 0.848   0.54  2.116  0.117    21.240     4.278  0.143  0.175 -0.014 -0.010  0.006 0.176 0.100 0.234 18.299
  203   4571.971    22.1 1.571  -0.31  2.121  0.124    54.181     4.120  0.120  0.063  0.187 -0.062  0.002 0.207 0.100 0.261 14.671
  208   4583.829    26.1 2.807  -1.94  4.581  0.099    35.935     3.818  0.165  0.023  0.210 -0.028  0.001 0.213 0.100 0.255 15.334
  212   4592.651    26.0 1.556  -2.46  4.494  0.113    16.968     3.532  0.097  0.186 -0.006 -0.009  0.007 0.186 0.100 0.240 17.382
  227   4629.332    26.1 2.807  -2.26  4.169  0.098    11.771     2.361  0.079  0.026  0.218 -0.006  0.001 0.220 0.100 0.260 14.740
  242   4702.991    12.0 4.346  -0.44  4.980  0.068    41.886     3.854  0.183  0.091 -0.045 -0.008  0.005 0.102 0.100 0.158 39.968
  271   4871.318    26.0 2.865  -0.34  4.185  0.088    30.343     3.506  0.139  0.146 -0.022 -0.018  0.006 0.149 0.100 0.200 25.060
  276   4890.755    26.0 2.876  -0.38  4.448  0.082    38.884     3.330  0.158  0.148 -0.040 -0.029  0.006 0.156 0.100 0.203 24.327
  283   4923.922    26.1 2.891  -1.26  4.182  0.114    44.127     4.211  0.143  0.021  0.201 -0.042  0.002 0.206 0.100 0.256 15.242
  319   5051.635    26.0 0.914  -2.76  4.651  0.252    39.568     9.311  0.181  0.210 -0.021 -0.034  0.008 0.214 0.100 0.345  8.385
  333    5123.72    26.0 1.010  -3.06  4.553  0.130    20.549     4.535  0.100  0.206 -0.010 -0.011  0.008 0.207 0.100 0.264 14.363
  338   5142.928    26.0 0.957  -3.07  4.541  0.145    21.882     5.298 -0.134  0.209 -0.008 -0.011  0.009 0.210 0.100 0.274 13.338
  343   5171.596    26.0 1.484  -1.72  4.339  0.187    43.073     6.775  0.171  0.190 -0.030 -0.042  0.008 0.197 0.100 0.289 11.933
  344   5172.684    12.0 2.712 -0.393  4.978  0.377   146.979    47.193 -0.203  0.210 -0.296 -0.027  0.008 0.364 0.100 0.534  3.513
  346   5183.604    12.0 2.717 -0.167  5.081  0.420   186.230    83.603 -0.129  0.222 -0.327 -0.016  0.008 0.396 0.100 0.586  2.916
  349   5194.942    26.0 1.556  -2.02  4.578  0.241    37.725     9.089  0.263  0.190 -0.021 -0.030  0.008 0.194 0.100 0.325  9.471
  352   5206.023    24.0 0.941   0.02  2.230  0.125    34.585     4.985  0.183  0.175 -0.025 -0.023  0.008 0.178 0.100 0.240 17.401
  360    5227.19    26.0 1.556  -1.23  5.192  0.170    85.546     6.910  0.188  0.233 -0.207 -0.106  0.002 0.329 0.100 0.384  6.790
  372   5269.537    26.0 0.858  -1.33  5.095  0.101   112.046     6.690  0.189  0.286 -0.288 -0.075 -0.001 0.413 0.100 0.437  5.247
  374   5275.997    26.1 3.199  -2.01  4.879  0.178    29.779     7.195  0.284  0.013  0.210 -0.018  0.001 0.211 0.100 0.294 11.590
  375   5283.621    26.0 3.239  -0.45  4.569  0.135    25.807     5.277  0.191  0.135 -0.020 -0.014  0.005 0.137 0.100 0.217 21.244
  384   5328.039    26.0 0.914  -1.47  4.746  0.169    86.550     6.670  0.200  0.252 -0.196 -0.112  0.000 0.338 0.100 0.391  6.535
  385   5328.532    26.0 1.556  -1.85  5.012  0.227    59.472     7.193  0.206  0.196 -0.076 -0.082  0.007 0.226 0.100 0.335  8.889
