index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   26    3876.04    26.0 1.010  -2.89  5.719  0.183    90.627     6.392  0.148  0.171 -0.065 -0.094 -0.048 0.211 0.100 0.297 11.351
   29   3900.539    22.1 1.130  -0.29  3.027  0.178   125.935     6.982  0.154  0.044  0.078 -0.119  0.047 0.156 0.100 0.257 15.134
   31   3904.783    22.0 0.899   0.15  2.963  0.118    53.735     5.981  0.149  0.132 -0.038 -0.028 -0.022 0.142 0.100 0.210 22.696
   34   3917.181    26.0 0.989  -2.15  5.238  0.172   103.012     6.883  0.150  0.173 -0.078 -0.095 -0.043 0.217 0.100 0.294 11.564
   35    3924.53    22.0 0.021  -0.87  2.663  0.089    38.831     4.582  0.151  0.163 -0.031 -0.012 -0.012 0.167 0.100 0.214 21.863
   37   3941.275    26.0 3.263  -1.03  5.061  0.095    28.952     4.474 -0.099  0.100 -0.017 -0.008 -0.004 0.102 0.100 0.171 34.019
   40   3948.097    26.0 3.241  -0.59  5.203  0.096    58.998     4.404  0.126  0.103 -0.028 -0.033 -0.015 0.113 0.100 0.179 31.324
   42   3955.341    26.0 3.281  -1.05  5.468  0.092    47.335     4.770  0.135  0.100 -0.024 -0.020 -0.009 0.105 0.100 0.172 33.873
   43   3958.205    22.0 0.048  -0.11  2.807  0.111    80.772     4.413  0.141  0.166 -0.055 -0.071 -0.045 0.194 0.100 0.245 16.675
   48   3987.606    22.1 0.607  -2.73  3.269  0.106    68.548     4.766  0.140  0.042  0.175 -0.047  0.046 0.192 0.100 0.241 17.256
   49   3989.758    22.0 0.021  -0.13  2.906  0.122    85.789     4.567  0.143  0.170 -0.058 -0.070 -0.042 0.197 0.100 0.253 15.671
   50   3998.636    22.0 0.048   0.02  2.724  0.122    83.322     4.763  0.142  0.167 -0.057 -0.065 -0.039 0.192 0.100 0.249 16.189
   51   4001.661    26.0 2.174   -1.9  5.198  0.088    55.361     4.294  0.129  0.129 -0.027 -0.033 -0.016 0.137 0.100 0.191 27.427
   53   4008.927    22.0 0.021   -1.0  3.097  0.081    55.654     4.246  0.216  0.162 -0.040 -0.026 -0.024 0.171 0.100 0.214 21.902
   55   4025.129    22.1 0.607  -2.11  3.033  0.100    85.105     3.853  0.138  0.041  0.166 -0.075  0.043 0.192 0.100 0.238 17.633
   56   4028.338    22.1 1.890  -0.92  3.043  0.089    72.325     3.825  0.138  0.013  0.171 -0.047  0.042 0.183 0.100 0.227 19.491
   57   4030.185    26.0 2.196  -2.31  5.328  0.062    39.843     3.247  0.134  0.127 -0.022 -0.018 -0.012 0.131 0.100 0.176 32.335
   58   4032.627    26.0 1.484  -2.38  5.209  0.094    71.908     3.803  0.141  0.151 -0.039 -0.051 -0.029 0.167 0.100 0.216 21.459
   59   4053.821    22.1 1.891  -1.07  2.863  0.077    56.883     3.909  0.128  0.010  0.179 -0.031  0.044 0.187 0.100 0.226 19.620
   60   4056.187    22.1 0.607  -3.28  2.949  0.054    24.986     2.391  0.127  0.044  0.184 -0.005  0.067 0.201 0.100 0.231 18.789
   63   4067.978    26.0 3.209  -0.53  5.212  0.074    65.319     3.386  0.143  0.105 -0.042 -0.039 -0.021 0.121 0.100 0.174 33.082
   64   4070.771    26.0 3.239  -0.87  5.220  0.065    46.985     3.432  0.128  0.101 -0.025 -0.019 -0.010 0.106 0.100 0.160 39.196
   65   4073.762    26.0 3.263  -0.97  5.104  0.070    34.474     3.552  0.099  0.099 -0.019 -0.010 -0.006 0.101 0.100 0.159 39.684
   68   4080.209    26.0 3.281  -1.18  5.077  0.089    22.875     3.702  0.099  0.097 -0.016 -0.007 -0.004 0.099 0.100 0.166 36.164
   70   4098.176    26.0 3.239  -0.97  5.104  0.070    35.946     3.610  0.131  0.100 -0.019 -0.012 -0.006 0.103 0.100 0.160 39.305
   71   4102.936    14.0 1.909 -3.336  6.175  0.097   108.896     4.626  0.183  0.134 -0.048 -0.060 -0.024 0.156 0.100 0.209 22.807
   72   4104.114    26.0 3.263  -1.27  5.546  0.083    41.698     4.411  0.164  0.100 -0.022 -0.016 -0.009 0.104 0.100 0.166 36.087
   75   4120.206    26.0 2.988  -1.23  5.429  0.075    54.096     3.793  0.164  0.107 -0.026 -0.027 -0.016 0.114 0.100 0.170 34.800
   76   4121.802    26.0 2.829  -1.28  5.264  0.066    52.406     3.369  0.135  0.111 -0.025 -0.029 -0.020 0.119 0.100 0.169 35.034
   79   4139.927    26.0 0.989  -3.51  5.156  0.055    42.991     3.030  0.118  0.158 -0.028 -0.018 -0.013 0.162 0.100 0.198 25.467
   80   4143.415    26.0 3.047  -0.21  5.595  0.112   100.719     4.347  0.174  0.123 -0.101 -0.091 -0.037 0.187 0.100 0.240 17.384
