index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  3.688  0.142   127.132     8.352  0.193  0.201 -0.160 -0.085 -0.022 0.271 0.100 0.322  9.627
   26    3876.04    26.0 1.010  -2.89  5.210  0.187    75.237     6.240  0.140  0.165 -0.066 -0.082 -0.038 0.199 0.100 0.291 11.804
   27   3882.287    22.1 1.115  -1.87  3.247  0.170    79.360     5.774  0.144  0.020  0.148 -0.078  0.026 0.170 0.100 0.261 14.713
   29   3900.539    22.1 1.130  -0.29  2.995  0.137   123.074     5.358  0.164  0.043  0.040 -0.120  0.032 0.137 0.100 0.218 20.989
   31   3904.783    22.0 0.899   0.15  2.409  0.090    33.931     4.352  0.109  0.143 -0.038 -0.014 -0.020 0.150 0.100 0.201 24.637
   34   3917.181    26.0 0.989  -2.15  5.186  0.122   102.723     4.879  0.162  0.176 -0.102 -0.096 -0.042 0.229 0.100 0.278 12.946
   35    3924.53    22.0 0.021  -0.87  2.375  0.092    34.550     4.492  0.153  0.169 -0.042 -0.012 -0.020 0.176 0.100 0.222 20.270
   40   3948.097    26.0 3.241  -0.59  4.917  0.085    49.424     3.816  0.143  0.102 -0.033 -0.029 -0.014 0.112 0.100 0.172 33.607
   41   3949.953    26.0 2.174  -1.25  5.298  0.175    85.887     5.417  0.170  0.132 -0.074 -0.105 -0.037 0.188 0.100 0.276 13.172
   42   3955.341    26.0 3.281  -1.05  5.130  0.091    35.940     4.299  0.156  0.103 -0.025 -0.016 -0.012 0.108 0.100 0.173 33.427
   43   3958.205    22.0 0.048  -0.11  2.989  0.192    89.786     6.570  0.170  0.168 -0.089 -0.094 -0.048 0.217 0.100 0.307 10.621
