index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
----- ---------- ------- ----- ------ ------ ------ --------- --------- ------ ------ ------ ------ ------ ----- ----- ----- ------
   24   3858.297    28.0 0.422  -0.96  4.021  0.107   101.253     4.614  0.141  0.163 -0.134 -0.093 -0.003 0.231 0.100 0.273 13.399
   25   3865.523    26.0 1.010  -0.95  5.236  0.108   119.577     7.069  0.146  0.162 -0.169 -0.062  0.004 0.242 0.100 0.283 12.449
   26    3876.04    26.0 1.010  -2.89  5.717  0.174    60.968     6.146  0.142  0.136 -0.018 -0.053 -0.008 0.147 0.100 0.249 16.137
   27   3882.287    22.1 1.115  -1.87  3.369  0.113    55.426     4.664  0.161  0.048  0.176 -0.036  0.017 0.187 0.100 0.240 17.351
   28   3887.048    26.0 0.914  -1.09  5.415  0.127   128.865    10.029  0.186  0.166 -0.182 -0.052  0.008 0.252 0.100 0.299 11.163
   29   3900.539    22.1 1.130  -0.29  3.761  0.111   128.223     6.209  0.177  0.087 -0.022 -0.082  0.030 0.125 0.100 0.195 26.316
   31   3904.783    22.0 0.899   0.15  2.778  0.087    18.861     3.140  0.092  0.114 -0.008 -0.005 -0.006 0.115 0.100 0.175 32.583
   33    3906.48    26.0 0.110  -2.21  5.901  0.094   132.798     6.836  0.177  0.196 -0.239 -0.064  0.016 0.316 0.100 0.345  8.423
   34   3917.181    26.0 0.989  -2.15  5.559  0.117    82.918     4.180  0.128  0.143 -0.064 -0.087 -0.009 0.179 0.100 0.236 17.894
   35    3924.53    22.0 0.021  -0.87  2.988  0.077    23.559     3.160  0.093  0.134 -0.010 -0.007 -0.007 0.135 0.100 0.185 29.339
   40   3948.097    26.0 3.241  -0.59  5.469  0.104    48.740     4.445  0.135  0.088 -0.014 -0.029 -0.005 0.094 0.100 0.172 33.758
   41   3949.953    26.0 2.174  -1.25  5.495  0.139    67.305     4.685  0.128  0.112 -0.020 -0.068 -0.008 0.133 0.100 0.217 21.297
   42   3955.341    26.0 3.281  -1.05  5.492  0.060    27.516     2.591  0.093  0.086 -0.005 -0.010 -0.004 0.087 0.100 0.145 47.308
   43   3958.205    22.0 0.048  -0.11  3.248  0.110    67.130     4.007  0.136  0.135 -0.026 -0.061 -0.010 0.151 0.100 0.212 22.310
   45   3977.741    26.0 2.196  -1.12  5.153  0.134    59.087     4.856  0.119  0.111 -0.008 -0.050 -0.007 0.122 0.100 0.207 23.315
   46   3981.991    22.1 0.573  -2.54  3.220  0.101    45.608     4.866  0.129  0.061  0.177 -0.022  0.019 0.189 0.100 0.237 17.826
   48   3987.606    22.1 0.607  -2.73  3.085  0.083    28.515     3.762  0.100  0.061  0.178 -0.009  0.019 0.189 0.100 0.230 18.962
   49   3989.758    22.0 0.021  -0.13  3.337  0.132    71.293     4.738  0.160  0.139 -0.038 -0.065 -0.009 0.158 0.100 0.229 19.049
   50   3998.636    22.0 0.048   0.02  2.956  0.080    61.384     3.164  0.133  0.133 -0.024 -0.048 -0.008 0.144 0.100 0.192 27.002
   51   4001.661    26.0 2.174   -1.9  5.557  0.075    44.395     3.391  0.131  0.106 -0.005 -0.027 -0.006 0.110 0.100 0.166 36.164
   53   4008.927    22.0 0.021   -1.0  3.165  0.062    25.922     2.562  0.106  0.135 -0.010 -0.007 -0.007 0.136 0.100 0.180 30.990
   54   4012.384    22.1 0.573  -1.78  2.980  0.145    68.227     5.390  0.123  0.063  0.176 -0.057  0.018 0.196 0.100 0.264 14.379
   55   4025.129    22.1 0.607  -2.11  3.081  0.107    57.598     4.522  0.151  0.061  0.176 -0.037  0.019 0.191 0.100 0.241 17.278
   56   4028.338    22.1 1.890  -0.92  3.456  0.135    65.091     4.993  0.155  0.035  0.176 -0.051  0.016 0.187 0.100 0.252 15.802
   57   4030.185    26.0 2.196  -2.31  5.228  0.101    14.179     2.955  0.098  0.108 -0.002 -0.004 -0.005 0.108 0.100 0.179 31.337
   58   4032.627    26.0 1.484  -2.38  5.577  0.105    57.083     4.238  0.134  0.127 -0.017 -0.042 -0.006 0.135 0.100 0.198 25.482
   59   4053.821    22.1 1.891  -1.07  3.123  0.066    44.110     3.150  0.132  0.035  0.183 -0.020  0.016 0.188 0.100 0.223 20.110
   60   4056.187    22.1 0.607  -3.28  3.216  0.078    13.831     2.238  0.113  0.060  0.178 -0.004  0.019 0.189 0.100 0.227 19.325
   62   4063.276    26.0 3.368  -0.81  5.711  0.070    44.348     3.240  0.151  0.084 -0.010 -0.025 -0.005 0.088 0.100 0.151 44.039
   63   4067.978    26.0 3.209  -0.53  5.419  0.085    52.022     3.832  0.139  0.090 -0.027 -0.031 -0.004 0.099 0.100 0.164 36.993
   64   4070.771    26.0 3.239  -0.87  5.446  0.080    35.920     3.710  0.116  0.087 -0.008 -0.014 -0.004 0.089 0.100 0.156 41.244
   65   4073.762    26.0 3.263  -0.97  5.417  0.083    28.937     3.729  0.132  0.086 -0.005 -0.011 -0.006 0.087 0.100 0.156 40.870
   66   4076.629    26.0 3.209  -0.59  5.792  0.103    65.474     4.224  0.189  0.096 -0.057 -0.049 -0.002 0.122 0.100 0.188 28.185
   69   4084.492    26.0 3.329  -0.54  5.716  0.077    59.082     3.263  0.174  0.091 -0.040 -0.041 -0.003 0.108 0.100 0.166 36.362
   70   4098.176    26.0 3.239  -0.97  5.619  0.072    39.444     3.408  0.150  0.088 -0.011 -0.018 -0.004 0.091 0.100 0.153 42.753
