index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight
  117   4330.698    22.1 1.179  -2.09  3.662  0.097   103.352     4.528  0.199 -0.002  0.171 -0.073  0.043 0.191 0.100 0.236 17.911
  118   4331.642    28.0 1.675  -2.27  4.570  0.068    73.632     3.781  0.162  0.149 -0.007 -0.034 -0.014 0.154 0.100 0.196 26.160
  120   4344.502    24.0 1.003  -0.65  3.877  0.133   117.844     5.702  0.186  0.172 -0.064 -0.092 -0.047 0.211 0.100 0.268 13.881
  122   4351.544    26.0 2.988  -1.64  5.833  0.108    74.062     5.875  0.191  0.123 -0.029 -0.036 -0.022 0.133 0.100 0.199 25.371
  127   4389.245    26.0 0.052  -4.55  6.224  0.122   133.168     5.169  0.177  0.245 -0.018 -0.098 -0.038 0.267 0.100 0.310 10.386
  128   4394.059    22.1 1.220  -1.77  3.655  0.092   116.417     3.878  0.194  0.011  0.170 -0.087  0.055 0.199 0.100 0.241 17.218
  130   4395.839    22.1 1.242  -1.93  3.733  0.083   111.406     3.825  0.215  0.010  0.169 -0.081  0.056 0.196 0.100 0.235 18.100
  131   4399.765    22.1 1.236   -1.2  3.808  0.083   147.031     3.707  0.200  0.015  0.132 -0.121  0.056 0.188 0.100 0.229 19.115
  135   4409.518    22.1 1.230  -2.53  3.555  0.059    72.419     3.531  0.177  0.007  0.185 -0.032  0.066 0.199 0.100 0.231 18.820
  136   4411.073    22.1 3.092  -0.65  3.550  0.055    50.937     3.248  0.169 -0.020  0.188 -0.017  0.056 0.198 0.100 0.228 19.159
  137    4411.93    22.1 1.223  -2.62  3.417  0.059    59.130     3.785  0.167  0.016  0.189 -0.019  0.069 0.203 0.100 0.234 18.321
  139   4416.818    26.1 2.778  -2.57  5.647  0.073    85.679     3.863  0.189 -0.029  0.194 -0.049  0.061 0.211 0.100 0.245 16.686
  140   4418.331    22.1 1.236  -1.99  3.526  0.088    99.782     3.892  0.174  0.013  0.176 -0.061  0.060 0.196 0.100 0.237 17.790
  141   4421.938    22.1 2.060  -1.64  3.292  0.054    49.315     3.204  0.155 -0.001  0.189 -0.015  0.064 0.200 0.100 0.230 18.882
  142    4422.82    22.0 1.066   -1.1  3.462  0.050    24.675     2.368  0.111  0.154 -0.037 -0.003 -0.020 0.160 0.100 0.195 26.319
  143   4425.437    20.0 1.879 -0.358  4.427  0.077    96.283     4.006  0.177  0.115 -0.072 -0.054 -0.033 0.150 0.100 0.196 26.080
  146   4432.096    22.1 1.236  -3.08  3.439  0.070    31.792     3.816  0.152  0.018  0.191 -0.008  0.070 0.204 0.100 0.238 17.646
  151   4442.339    26.0 2.196  -1.23  5.854  0.057   154.323     4.149  0.218  0.159 -0.079 -0.070 -0.021 0.192 0.100 0.224 19.955
  152   4443.801    22.1 1.079  -0.71  3.704  0.085   175.833     4.572  0.227  0.038  0.066 -0.118  0.079 0.161 0.100 0.208 23.153
