index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
   72   4104.114    26.0 3.263  -1.27  5.675  0.065    47.556     3.110  0.150  0.100 -0.018 -0.023 -0.012 0.105 0.100 0.159 39.646 wukong10_163246133_lesspayne_norm_EQW_params_synt
   73   4114.938    26.0 3.368  -1.45  5.174  0.092    14.285     2.671  0.119  0.093 -0.007 -0.002 -0.007 0.094 0.100 0.165 36.743 wukong10_163246133_lesspayne_norm_EQW_params_synt
   74   4118.545    26.0 3.571   0.27  5.442  0.111    85.459     4.005  0.161  0.104 -0.059 -0.083 -0.024 0.148 0.100 0.210 22.684 wukong10_163246133_lesspayne_norm_EQW_params_synt
   75   4120.206    26.0 2.988  -1.23  5.501  0.066    56.288     2.815  0.128  0.109 -0.021 -0.033 -0.015 0.117 0.100 0.167 35.723 wukong10_163246133_lesspayne_norm_EQW_params_synt
   76   4121.802    26.0 2.829  -1.28  5.369  0.073    56.245     3.155  0.150  0.112 -0.023 -0.034 -0.017 0.120 0.100 0.173 33.503 wukong10_163246133_lesspayne_norm_EQW_params_synt
   79   4139.927    26.0 0.989  -3.51  5.496  0.057    59.742     2.400  0.122  0.164 -0.029 -0.038 -0.024 0.173 0.100 0.207 23.252 wukong10_163246133_lesspayne_norm_EQW_params_synt
   82   4147.669    26.0 1.484  -2.07  5.347  0.089    86.832     3.173  0.134  0.162 -0.057 -0.086 -0.033 0.195 0.100 0.236 17.889 wukong10_163246133_lesspayne_norm_EQW_params_synt
   83   4150.249    26.0 3.428  -1.19  5.469  0.053    32.760     2.528  0.124  0.094 -0.013 -0.011 -0.009 0.096 0.100 0.148 45.419 wukong10_163246133_lesspayne_norm_EQW_params_synt
   86   4158.792    26.0 3.428   -0.7  5.286  0.058    47.753     2.807  0.120  0.097 -0.024 -0.024 -0.013 0.104 0.100 0.155 41.502 wukong10_163246133_lesspayne_norm_EQW_params_synt
   87   4161.529    22.1 1.083  -2.09  3.355  0.074    71.175     3.036  0.151  0.032  0.178 -0.052  0.037 0.192 0.100 0.229 19.136 wukong10_163246133_lesspayne_norm_EQW_params_synt
   89   4171.904    22.1 2.596   -0.3  3.814  0.184    88.765     6.524  0.199 -0.001  0.152 -0.087  0.028 0.177 0.100 0.274 13.278 wukong10_163246133_lesspayne_norm_EQW_params_synt
   90   4173.921    26.0 0.989  -3.29  5.597  0.095    73.174     3.384  0.155  0.169 -0.034 -0.063 -0.031 0.186 0.100 0.232 18.631 wukong10_163246133_lesspayne_norm_EQW_params_synt
