index wavelength species expot  loggf logeps e_stat       eqw     e_eqw   fwhm e_Teff e_logg   e_vt   e_MH  e_sp e_sys e_tot weight                                              star
  448   6122.217    20.0 1.886 -0.316  4.621  0.065    98.428     3.625  0.232  0.120 -0.090 -0.050 -0.042 0.164 0.100 0.202 24.396 wukong12_165305481_lesspayne_norm_EQW_params_synt
  449   6162.173    20.0 1.899  -0.09  4.709  0.045   115.733     2.714  0.248  0.128 -0.123 -0.054 -0.039 0.190 0.100 0.219 20.844 wukong12_165305481_lesspayne_norm_EQW_params_synt
  450   6169.042    20.0 2.523 -0.797  4.542  0.062    25.837     2.816  0.237  0.080 -0.023 -0.006 -0.013 0.084 0.100 0.145 47.667 wukong12_165305481_lesspayne_norm_EQW_params_synt
  451   6169.563    20.0 2.526 -0.478  4.499  0.051    39.466     2.856  0.230  0.082 -0.029 -0.012 -0.018 0.090 0.100 0.144 48.461 wukong12_165305481_lesspayne_norm_EQW_params_synt
  452   6191.169    28.0 1.675  -2.47  4.219  0.063    29.668     3.150  0.211  0.139 -0.009 -0.007 -0.010 0.140 0.100 0.183 29.832 wukong12_165305481_lesspayne_norm_EQW_params_synt
  453    6219.28    26.0 2.196  -2.45  5.492  0.052    51.156     3.072  0.215  0.139 -0.023 -0.021 -0.025 0.145 0.100 0.183 29.743 wukong12_165305481_lesspayne_norm_EQW_params_synt
  455   6246.319    26.0 3.600  -0.77  5.228  0.043    37.831     2.332  0.232  0.098 -0.020 -0.012 -0.015 0.102 0.100 0.149 44.998 wukong12_165305481_lesspayne_norm_EQW_params_synt
  456   6247.559    26.1 3.892   -2.3  5.574  0.080    25.265     3.478  0.325 -0.030  0.197 -0.009  0.047 0.205 0.100 0.242 17.123 wukong12_165305481_lesspayne_norm_EQW_params_synt
  457   6265.134    26.0 2.174  -2.54  5.547  0.050    50.769     2.924  0.224  0.139 -0.023 -0.020 -0.025 0.144 0.100 0.183 29.962 wukong12_165305481_lesspayne_norm_EQW_params_synt
  459   6301.501    26.0 3.651  -0.71  5.457  0.063    50.432     3.329  0.258  0.100 -0.017 -0.019 -0.021 0.105 0.100 0.158 39.903 wukong12_165305481_lesspayne_norm_EQW_params_synt
  460    6335.33    26.0 2.196  -2.18  5.431  0.052    63.822     2.967  0.250  0.144 -0.023 -0.027 -0.030 0.151 0.100 0.189 28.091 wukong12_165305481_lesspayne_norm_EQW_params_synt
  461   6336.824    26.0 3.684  -0.85  5.206  0.068    28.038     3.216  0.242  0.096 -0.016 -0.007 -0.011 0.098 0.100 0.156 41.208 wukong12_165305481_lesspayne_norm_EQW_params_synt
  463   6400.001    26.0 3.603  -0.27  5.405  0.060    75.970     3.278  0.268  0.112 -0.049 -0.039 -0.033 0.132 0.100 0.177 32.097 wukong12_165305481_lesspayne_norm_EQW_params_synt
  464   6408.018    26.0 3.684  -0.99  5.350  0.053    28.269     2.500  0.244  0.096 -0.013 -0.007 -0.012 0.098 0.100 0.150 44.667 wukong12_165305481_lesspayne_norm_EQW_params_synt
  465   6411.649    26.0 3.651  -0.59  5.375  0.044    53.226     2.544  0.238  0.102 -0.028 -0.020 -0.022 0.110 0.100 0.155 41.651 wukong12_165305481_lesspayne_norm_EQW_params_synt
  466   6430.846    26.0 2.174  -1.95  5.513  0.052    82.554     2.661  0.240  0.153 -0.031 -0.047 -0.045 0.169 0.100 0.203 24.208 wukong12_165305481_lesspayne_norm_EQW_params_synt
  468   6439.075    20.0 2.524   0.47  4.520  0.052    93.290     2.672  0.251  0.100 -0.054 -0.052 -0.051 0.135 0.100 0.176 32.335 wukong12_165305481_lesspayne_norm_EQW_params_synt
  469   6449.808    20.0 2.521 -0.502  4.454  0.045    36.377     2.222  0.207  0.085 -0.021 -0.009 -0.017 0.090 0.100 0.142 49.845 wukong12_165305481_lesspayne_norm_EQW_params_synt
  470   6456.381    26.1 3.903  -2.05  5.387  0.077    27.683     3.505  0.259 -0.029  0.197 -0.008  0.048 0.205 0.100 0.241 17.257 wukong12_165305481_lesspayne_norm_EQW_params_synt
  471    6499.65    20.0 2.523 -0.818  4.486  0.056    23.057     2.337  0.214  0.081 -0.019 -0.005 -0.013 0.084 0.100 0.142 49.375 wukong12_165305481_lesspayne_norm_EQW_params_synt
  472   6516.077    26.1 2.891  -3.37  5.624  0.043    31.919     2.210  0.220 -0.011  0.198 -0.009  0.057 0.207 0.100 0.233 18.347 wukong12_165305481_lesspayne_norm_EQW_params_synt
  473    6643.63    28.0 1.675  -2.22  4.157  0.045    40.902     2.590  0.224  0.142 -0.010 -0.015 -0.015 0.144 0.100 0.181 30.544 wukong12_165305481_lesspayne_norm_EQW_params_synt
  476   6717.681    20.0 2.709 -0.524  4.612  0.057    32.876     2.867  0.243  0.078 -0.024 -0.008 -0.015 0.083 0.100 0.142 49.507 wukong12_165305481_lesspayne_norm_EQW_params_synt
  477   6767.772    28.0 1.825  -2.14  4.148  0.053    35.371     2.904  0.234  0.137 -0.008 -0.010 -0.013 0.138 0.100 0.179 31.336 wukong12_165305481_lesspayne_norm_EQW_params_synt
  482   7714.308    28.0 1.934   -2.0  4.157  0.045    39.361     2.557  0.239  0.137 -0.006 -0.011 -0.014 0.138 0.100 0.176 32.105 wukong12_165305481_lesspayne_norm_EQW_params_synt
  483    7788.93    28.0 1.949  -2.18  4.387  0.058    41.451     3.377  0.317  0.137 -0.006 -0.012 -0.015 0.138 0.100 0.180 30.732 wukong12_165305481_lesspayne_norm_EQW_params_synt
  485     5526.0    21.1   nan    nan  1.076  0.117 -9999.000 -9999.000  0.161  0.010  0.184 -0.016  0.061 0.194 0.200 0.303 10.919 wukong12_165305481_lesspayne_norm_EQW_params_synt
  486     5030.0    21.1   nan    nan  0.957  0.163 -9999.000 -9999.000  0.190  0.000  0.196 -0.013  0.068 0.208 0.200 0.332  9.088 wukong12_165305481_lesspayne_norm_EQW_params_synt
  487     4669.0    21.1   nan    nan  1.155  0.083 -9999.000 -9999.000  0.172 -0.010  0.194 -0.008  0.063 0.205 0.200 0.298 11.259 wukong12_165305481_lesspayne_norm_EQW_params_synt
  488     4415.0    21.1   nan    nan  1.261  0.063 -9999.000 -9999.000  0.136  0.022  0.143 -0.023  0.035 0.151 0.200 0.258 14.987 wukong12_165305481_lesspayne_norm_EQW_params_synt
  489     4399.0    21.1   nan    nan  1.230  0.120 -9999.000 -9999.000  0.141  0.053  0.186 -0.067  0.012 0.205 0.200 0.310 10.398 wukong12_165305481_lesspayne_norm_EQW_params_synt
  490     4824.0    25.0   nan    nan  2.857  0.098 -9999.000 -9999.000  0.133  0.117 -0.032 -0.013 -0.014 0.123 0.200 0.255 15.437 wukong12_165305481_lesspayne_norm_EQW_params_synt
  491     4782.0    25.0   nan    nan  2.758  0.067 -9999.000 -9999.000  0.143  0.104 -0.036 -0.005 -0.014 0.111 0.200 0.238 17.628 wukong12_165305481_lesspayne_norm_EQW_params_synt
  492     4766.0    25.0   nan    nan  2.944  0.036 -9999.000 -9999.000  0.142  0.075 -0.073 -0.003 -0.031 0.109 0.200 0.231 18.776 wukong12_165305481_lesspayne_norm_EQW_params_synt
  493     4762.0    25.0   nan    nan  2.990  0.035 -9999.000 -9999.000  0.143  0.076 -0.076 -0.004 -0.032 0.112 0.200 0.232 18.597 wukong12_165305481_lesspayne_norm_EQW_params_synt
  494     4753.0    25.0   nan    nan  2.775  0.059 -9999.000 -9999.000  0.154  0.096 -0.024 -0.004 -0.007 0.099 0.200 0.231 18.731 wukong12_165305481_lesspayne_norm_EQW_params_synt
  495     4310.0   106.0   nan    nan  6.132  0.012 -9999.000 -9999.000  0.134  0.183 -0.126 -0.003  0.157 0.272 0.100 0.290 11.879 wukong12_165305481_lesspayne_norm_EQW_params_synt
  496     4323.0   106.0   nan    nan  6.126  0.035 -9999.000 -9999.000  0.136  0.157 -0.111  0.001  0.152 0.245 0.100 0.267 14.045 wukong12_165305481_lesspayne_norm_EQW_params_synt
  497     4246.0    21.1   nan    nan  1.398  0.150 -9999.000 -9999.000  0.134 -0.098  0.241 -0.118 -0.118 0.309 0.200 0.397  6.334 wukong12_165305481_lesspayne_norm_EQW_params_synt
  498     4313.0    21.1   nan    nan  1.229  0.181 -9999.000 -9999.000  0.130 -0.000  0.276 -0.090  0.010 0.291 0.200 0.396  6.364 wukong12_165305481_lesspayne_norm_EQW_params_synt
  499     4324.0    21.1   nan    nan  0.997  0.103 -9999.000 -9999.000  0.137  0.039  0.199 -0.072  0.015 0.215 0.200 0.312 10.300 wukong12_165305481_lesspayne_norm_EQW_params_synt
  500     4040.0    25.0   nan    nan  2.974  0.152 -9999.000 -9999.000  0.160  0.105  0.015  0.015 -0.006 0.107 0.200 0.273 13.382 wukong12_165305481_lesspayne_norm_EQW_params_synt
  502     3962.0    13.0   nan    nan  3.943  0.167 -9999.000 -9999.000  0.136  0.176 -0.215 -0.044  0.011 0.281 0.300 0.444  5.073 wukong12_165305481_lesspayne_norm_EQW_params_synt
  504     3906.0    14.0   nan    nan  5.700  0.091 -9999.000 -9999.000  0.137  0.073 -0.099 -0.002 -0.002 0.122 0.100 0.183 29.985 wukong12_165305481_lesspayne_norm_EQW_params_synt
  505     4384.0    23.0   nan    nan  1.682  0.066 -9999.000 -9999.000  0.129  0.111  0.060 -0.003 -0.047 0.135 0.100 0.180 30.876 wukong12_165305481_lesspayne_norm_EQW_params_synt
  506     4379.0    23.0   nan    nan  1.655  0.089 -9999.000 -9999.000  0.132  0.084  0.032 -0.003 -0.075 0.117 0.100 0.178 31.599 wukong12_165305481_lesspayne_norm_EQW_params_synt
  507     4006.0    23.1   nan    nan  2.042  0.107 -9999.000 -9999.000  0.159 -0.022  0.185 -0.005  0.029 0.188 0.100 0.239 17.539 wukong12_165305481_lesspayne_norm_EQW_params_synt
  508     3952.0    23.1   nan    nan  2.179  0.162 -9999.000 -9999.000  0.127  0.001  0.226  0.021  0.046 0.231 0.100 0.300 11.132 wukong12_165305481_lesspayne_norm_EQW_params_synt
  510     4020.0    27.0   nan    nan  2.986  0.108 -9999.000 -9999.000  0.141  0.133  0.006  0.006  0.006 0.134 0.100 0.199 25.265 wukong12_165305481_lesspayne_norm_EQW_params_synt
  511     4110.0    27.0   nan    nan  3.144  0.111 -9999.000 -9999.000  0.165  0.113 -0.015 -0.016 -0.021 0.117 0.100 0.190 27.624 wukong12_165305481_lesspayne_norm_EQW_params_synt
  512     4119.0    27.0   nan    nan  2.757  0.104 -9999.000 -9999.000  0.142  0.166 -0.046 -0.050 -0.050 0.187 0.100 0.236 17.991 wukong12_165305481_lesspayne_norm_EQW_params_synt
  513     4121.0    27.0   nan    nan  2.758  0.107 -9999.000 -9999.000  0.139  0.190 -0.037 -0.051 -0.053 0.207 0.100 0.254 15.542 wukong12_165305481_lesspayne_norm_EQW_params_synt
  516     4215.0    38.1   nan    nan  0.811  0.098 -9999.000 -9999.000  0.141  0.082  0.028 -0.044  0.049 0.109 0.100 0.178 31.676 wukong12_165305481_lesspayne_norm_EQW_params_synt
  517     4900.0    39.1   nan    nan  0.030  0.085 -9999.000 -9999.000  0.159  0.029  0.194 -0.018  0.070 0.209 0.100 0.247 16.349 wukong12_165305481_lesspayne_norm_EQW_params_synt
  518     4884.0    39.1   nan    nan -0.157  0.112 -9999.000 -9999.000  0.154  0.004  0.195 -0.013  0.069 0.208 0.100 0.256 15.262 wukong12_165305481_lesspayne_norm_EQW_params_synt
  519     4397.0    39.1   nan    nan -0.276  0.128 -9999.000 -9999.000  0.130  0.030  0.183 -0.010  0.046 0.191 0.100 0.251 15.926 wukong12_165305481_lesspayne_norm_EQW_params_synt
  520     4208.0    40.1   nan    nan  0.739  0.079 -9999.000 -9999.000  0.133 -0.024  0.224 -0.017 -0.016 0.226 0.100 0.260 14.813 wukong12_165305481_lesspayne_norm_EQW_params_synt
  521     4554.0    56.1   nan    nan  0.045  0.096 -9999.000 -9999.000  0.141  0.080  0.063 -0.103  0.032 0.149 0.200 0.267 14.021 wukong12_165305481_lesspayne_norm_EQW_params_synt
  523     5854.0    56.1   nan    nan  0.113  0.092 -9999.000 -9999.000  0.201  0.035  0.184 -0.035  0.063 0.201 0.200 0.298 11.278 wukong12_165305481_lesspayne_norm_EQW_params_synt
  524     6142.0    56.1   nan    nan  0.063  0.095 -9999.000 -9999.000  0.192  0.053  0.159 -0.079  0.043 0.190 0.200 0.292 11.720 wukong12_165305481_lesspayne_norm_EQW_params_synt
  525     6496.0    56.1   nan    nan  0.232  0.080 -9999.000 -9999.000  0.219  0.040  0.175 -0.071  0.051 0.199 0.200 0.294 11.605 wukong12_165305481_lesspayne_norm_EQW_params_synt
  526     4086.0    57.1   nan    nan -0.857  0.118 -9999.000 -9999.000  0.147  0.000  0.193 -0.007  0.067 0.204 0.100 0.256 15.215 wukong12_165305481_lesspayne_norm_EQW_params_synt
  527     4122.0    57.1   nan    nan -0.663  0.103 -9999.000 -9999.000  0.143  0.004  0.192 -0.005  0.060 0.201 0.100 0.247 16.387 wukong12_165305481_lesspayne_norm_EQW_params_synt
  528     4334.0    57.1   nan    nan -0.870  0.066 -9999.000 -9999.000  0.141  0.036  0.180 -0.001  0.065 0.195 0.100 0.229 19.084 wukong12_165305481_lesspayne_norm_EQW_params_synt
  529     4430.0    57.1   nan    nan -0.650  0.055 -9999.000 -9999.000  0.140  0.052  0.160  0.000  0.081 0.186 0.100 0.219 20.912 wukong12_165305481_lesspayne_norm_EQW_params_synt
  530     4921.0    57.1   nan    nan -0.925  0.089 -9999.000 -9999.000  0.168  0.041  0.165  0.002  0.074 0.186 0.100 0.229 19.049 wukong12_165305481_lesspayne_norm_EQW_params_synt
  531     4922.0    57.1   nan    nan -0.950  0.094 -9999.000 -9999.000  0.166  0.036  0.169  0.001  0.074 0.188 0.100 0.232 18.509 wukong12_165305481_lesspayne_norm_EQW_params_synt
  533     4102.0    66.1   nan    nan -0.316  0.125 -9999.000 -9999.000  0.155 -0.000  0.207 -0.004  0.029 0.209 0.100 0.263 14.403 wukong12_165305481_lesspayne_norm_EQW_params_synt
  534     4129.0    63.1   nan    nan -1.057  0.079 -9999.000 -9999.000  0.146  0.027  0.192 -0.005  0.062 0.204 0.100 0.240 17.314 wukong12_165305481_lesspayne_norm_EQW_params_synt
  535     4205.0    63.1   nan    nan -1.016  0.067 -9999.000 -9999.000  0.138  0.024  0.175 -0.001  0.085 0.196 0.100 0.230 18.855 wukong12_165305481_lesspayne_norm_EQW_params_synt
  536     4435.0    63.1   nan    nan -1.077  0.061 -9999.000 -9999.000  0.150  0.073  0.155 -0.014  0.059 0.182 0.100 0.217 21.328 wukong12_165305481_lesspayne_norm_EQW_params_synt
  539     3877.0   607.0   nan    nan  6.114  0.034 -9999.000 -9999.000  0.148  0.232 -0.064  0.004  0.158 0.288 0.300 0.417  5.753 wukong12_165305481_lesspayne_norm_EQW_params_synt
  484     6300.0     8.0   nan    nan  7.752    nan       nan       nan    nan    nan    nan    nan    nan   nan   nan   nan    nan wukong12_165305481_lesspayne_norm_EQW_params_synt
   24   3858.297    28.0 0.422  -0.96  4.120  0.118   140.071     7.776  0.179  0.178 -0.154 -0.071  0.005 0.246 0.100 0.291 11.850 wukong13_166070607_lesspayne_norm_EQW_params_synt
   29   3900.539    22.1 1.130  -0.29  3.507  0.169   137.918     8.547  0.176  0.039  0.027 -0.100  0.042 0.118 0.100 0.229 19.020 wukong13_166070607_lesspayne_norm_EQW_params_synt
   31   3904.783    22.0 0.899   0.15  3.401  0.128    69.980     5.375  0.166  0.142 -0.033 -0.047 -0.014 0.154 0.100 0.224 19.983 wukong13_166070607_lesspayne_norm_EQW_params_synt
   34   3917.181    26.0 0.989  -2.15  5.520  0.115   109.278     4.995  0.144  0.171 -0.081 -0.090 -0.023 0.211 0.100 0.260 14.780 wukong13_166070607_lesspayne_norm_EQW_params_synt
   35    3924.53    22.0 0.021  -0.87  3.136  0.099    57.950     4.849  0.108  0.163 -0.029 -0.032 -0.012 0.169 0.100 0.220 20.670 wukong13_166070607_lesspayne_norm_EQW_params_synt
   40   3948.097    26.0 3.241  -0.59  5.320  0.114    60.988     4.927  0.113  0.105 -0.020 -0.036 -0.008 0.113 0.100 0.189 27.947 wukong13_166070607_lesspayne_norm_EQW_params_synt
   41   3949.953    26.0 2.174  -1.25  5.558  0.140    91.149     4.871  0.151  0.141 -0.046 -0.096 -0.023 0.178 0.100 0.248 16.302 wukong13_166070607_lesspayne_norm_EQW_params_synt
   43   3958.205    22.0 0.048  -0.11  3.230  0.125    92.390     4.563  0.139  0.173 -0.054 -0.081 -0.028 0.200 0.100 0.257 15.194 wukong13_166070607_lesspayne_norm_EQW_params_synt
   45   3977.741    26.0 2.196  -1.12  5.351  0.158    87.964     5.495  0.164  0.140 -0.041 -0.089 -0.026 0.173 0.100 0.255 15.422 wukong13_166070607_lesspayne_norm_EQW_params_synt
   48   3987.606    22.1 0.607  -2.73  3.477  0.131    68.592     5.756  0.134  0.028  0.183 -0.049  0.037 0.195 0.100 0.255 15.336 wukong13_166070607_lesspayne_norm_EQW_params_synt
   49   3989.758    22.0 0.021  -0.13  3.643  0.134   109.373     5.445  0.169  0.178 -0.094 -0.091 -0.028 0.223 0.100 0.278 12.896 wukong13_166070607_lesspayne_norm_EQW_params_synt
   50   3998.636    22.0 0.048   0.02  2.872  0.113    84.646     4.223  0.128  0.171 -0.046 -0.066 -0.024 0.190 0.100 0.243 16.932 wukong13_166070607_lesspayne_norm_EQW_params_synt
   51   4001.661    26.0 2.174   -1.9  5.630  0.081    70.567     3.311  0.134  0.134 -0.024 -0.052 -0.014 0.146 0.100 0.195 26.320 wukong13_166070607_lesspayne_norm_EQW_params_synt
   53   4008.927    22.0 0.021   -1.0  3.468  0.082    68.534     3.643  0.146  0.166 -0.033 -0.041 -0.017 0.175 0.100 0.218 21.124 wukong13_166070607_lesspayne_norm_EQW_params_synt
   55   4025.129    22.1 0.607  -2.11  3.655  0.145   100.156     5.106  0.163  0.033  0.163 -0.097  0.031 0.195 0.100 0.263 14.481 wukong13_166070607_lesspayne_norm_EQW_params_synt
   56   4028.338    22.1 1.890  -0.92  3.391  0.125    79.430     4.680  0.147  0.006  0.181 -0.060  0.031 0.193 0.100 0.251 15.877 wukong13_166070607_lesspayne_norm_EQW_params_synt
   57   4030.185    26.0 2.196  -2.31  5.537  0.059    46.124     3.086  0.130  0.128 -0.011 -0.017 -0.005 0.130 0.100 0.174 33.002 wukong13_166070607_lesspayne_norm_EQW_params_synt
   58   4032.627    26.0 1.484  -2.38  5.667  0.118    85.712     4.528  0.150  0.158 -0.045 -0.072 -0.020 0.180 0.100 0.238 17.700 wukong13_166070607_lesspayne_norm_EQW_params_synt
   59   4053.821    22.1 1.891  -1.07  3.207  0.076    65.143     3.442  0.149  0.003  0.182 -0.038  0.033 0.189 0.100 0.227 19.439 wukong13_166070607_lesspayne_norm_EQW_params_synt
   60   4056.187    22.1 0.607  -3.28  3.486  0.060    41.568     3.336  0.135  0.022  0.185 -0.016  0.040 0.191 0.100 0.224 19.934 wukong13_166070607_lesspayne_norm_EQW_params_synt
   62   4063.276    26.0 3.368  -0.81  5.620  0.100    58.940     4.625  0.156  0.102 -0.018 -0.031 -0.005 0.108 0.100 0.178 31.531 wukong13_166070607_lesspayne_norm_EQW_params_synt
   63   4067.978    26.0 3.209  -0.53  5.354  0.075    68.573     3.323  0.128  0.110 -0.037 -0.042 -0.006 0.124 0.100 0.176 32.368 wukong13_166070607_lesspayne_norm_EQW_params_synt
   64   4070.771    26.0 3.239  -0.87  5.399  0.067    52.574     3.413  0.107  0.104 -0.020 -0.023 -0.006 0.109 0.100 0.162 38.065 wukong13_166070607_lesspayne_norm_EQW_params_synt
   65   4073.762    26.0 3.263  -0.97  5.533  0.064    52.957     3.237  0.130  0.103 -0.020 -0.023 -0.004 0.107 0.100 0.160 38.985 wukong13_166070607_lesspayne_norm_EQW_params_synt
   68   4080.209    26.0 3.281  -1.18  5.463  0.076    37.466     3.849  0.111  0.099 -0.010 -0.012 -0.002 0.100 0.100 0.161 38.721 wukong13_166070607_lesspayne_norm_EQW_params_synt
   70   4098.176    26.0 3.239  -0.97  5.561  0.065    55.956     3.195  0.131  0.105 -0.021 -0.026 -0.004 0.110 0.100 0.162 37.902 wukong13_166070607_lesspayne_norm_EQW_params_synt
   71   4102.936    14.0 1.909 -3.336  6.244  0.097   107.450     4.679  0.177  0.130 -0.032 -0.057 -0.008 0.146 0.100 0.202 24.602 wukong13_166070607_lesspayne_norm_EQW_params_synt
   75   4120.206    26.0 2.988  -1.23  5.544  0.061    55.988     3.045  0.133  0.110 -0.017 -0.028 -0.007 0.115 0.100 0.164 37.114 wukong13_166070607_lesspayne_norm_EQW_params_synt
   76   4121.802    26.0 2.829  -1.28  5.623  0.094    65.720     4.102  0.155  0.117 -0.021 -0.043 -0.011 0.127 0.100 0.187 28.623 wukong13_166070607_lesspayne_norm_EQW_params_synt
   78   4133.856    26.0 3.366  -1.13  5.818  0.068    53.689     3.459  0.133  0.101 -0.021 -0.025 -0.007 0.106 0.100 0.161 38.549 wukong13_166070607_lesspayne_norm_EQW_params_synt
   79   4139.927    26.0 0.989  -3.51  5.578  0.053    59.149     2.574  0.128  0.162 -0.021 -0.031 -0.012 0.167 0.100 0.201 24.631 wukong13_166070607_lesspayne_norm_EQW_params_synt
   82   4147.669    26.0 1.484  -2.07  5.382  0.085    87.602     3.235  0.142  0.160 -0.044 -0.076 -0.023 0.184 0.100 0.226 19.582 wukong13_166070607_lesspayne_norm_EQW_params_synt
   83   4150.249    26.0 3.428  -1.19  5.788  0.081    45.648     4.152  0.211  0.098 -0.015 -0.016 -0.002 0.100 0.100 0.163 37.522 wukong13_166070607_lesspayne_norm_EQW_params_synt
   85     4153.9    26.0 3.397  -0.28  5.500  0.095    77.722     4.156  0.158  0.110 -0.057 -0.051 -0.007 0.134 0.100 0.192 27.009 wukong13_166070607_lesspayne_norm_EQW_params_synt
   86   4158.792    26.0 3.428   -0.7  5.520  0.067    57.120     3.352  0.142  0.100 -0.025 -0.028 -0.006 0.107 0.100 0.161 38.558 wukong13_166070607_lesspayne_norm_EQW_params_synt
   87   4161.529    22.1 1.083  -2.09  3.487  0.072    74.676     3.155  0.145  0.019  0.180 -0.049  0.035 0.191 0.100 0.227 19.390 wukong13_166070607_lesspayne_norm_EQW_params_synt
   91   4174.913    26.0 0.914  -2.94  5.686  0.092    91.265     3.415  0.134  0.178 -0.046 -0.086 -0.033 0.206 0.100 0.246 16.461 wukong13_166070607_lesspayne_norm_EQW_params_synt
   92   4178.855    26.1 2.583  -2.51  5.458  0.066    69.998     2.942  0.135 -0.012  0.191 -0.048  0.032 0.200 0.100 0.233 18.413 wukong13_166070607_lesspayne_norm_EQW_params_synt
   93   4184.312    22.1 1.079  -2.49  3.504  0.060    56.940     2.858  0.129  0.017  0.191 -0.024  0.038 0.197 0.100 0.229 19.087 wukong13_166070607_lesspayne_norm_EQW_params_synt
   94   4187.039    26.0 2.450  -0.56  5.562  0.074   116.915     4.155  0.157  0.142 -0.152 -0.067 -0.001 0.219 0.100 0.251 15.814 wukong13_166070607_lesspayne_norm_EQW_params_synt
   95   4199.095    26.0 3.045   0.17  5.299  0.084   101.156     3.274  0.165  0.127 -0.073 -0.089 -0.019 0.172 0.100 0.216 21.369 wukong13_166070607_lesspayne_norm_EQW_params_synt
   97   4216.184    26.0 0.000  -3.36  5.713  0.103   117.007     3.981  0.157  0.209 -0.088 -0.109 -0.042 0.255 0.100 0.293 11.671 wukong13_166070607_lesspayne_norm_EQW_params_synt
   98   4233.163    26.1 2.583  -2.02  5.665  0.075   100.251     3.262  0.173 -0.006  0.162 -0.075  0.029 0.181 0.100 0.220 20.673 wukong13_166070607_lesspayne_norm_EQW_params_synt
   99   4233.603    26.0 2.482   -0.6  5.455  0.071   108.289     3.530  0.157  0.142 -0.128 -0.070 -0.006 0.204 0.100 0.238 17.691 wukong13_166070607_lesspayne_norm_EQW_params_synt
  100   4250.787    26.0 1.556  -0.71  5.378  0.059   148.266     4.292  0.181  0.165 -0.172 -0.063  0.000 0.247 0.100 0.273 13.466 wukong13_166070607_lesspayne_norm_EQW_params_synt
  101   4282.403    26.0 2.174  -0.78  5.699  0.102   118.575     4.271  0.173  0.153 -0.099 -0.100 -0.024 0.209 0.100 0.253 15.579 wukong13_166070607_lesspayne_norm_EQW_params_synt
  103   4287.403    22.0 0.835  -0.37  3.378  0.058    50.666     2.930  0.158  0.146 -0.024 -0.018 -0.009 0.149 0.100 0.189 28.041 wukong13_166070607_lesspayne_norm_EQW_params_synt
  105   4291.463    26.0 0.052  -4.08  5.857  0.086    95.008     3.229  0.150  0.204 -0.050 -0.088 -0.042 0.232 0.100 0.266 14.080 wukong13_166070607_lesspayne_norm_EQW_params_synt
  106   4295.749    22.0 0.812  -0.42  3.154  0.053    37.137     2.661  0.128  0.143 -0.022 -0.008 -0.007 0.145 0.100 0.184 29.537 wukong13_166070607_lesspayne_norm_EQW_params_synt
  111   4316.794    22.1 2.046  -1.62  3.495  0.047    44.397     2.629  0.151 -0.003  0.185 -0.019  0.032 0.189 0.100 0.219 20.908 wukong13_166070607_lesspayne_norm_EQW_params_synt
  112   4318.652    20.0 1.899  -0.21  4.599  0.068    86.818     2.952  0.152  0.108 -0.065 -0.056 -0.014 0.139 0.100 0.184 29.546 wukong13_166070607_lesspayne_norm_EQW_params_synt
  115   4326.753    26.0 2.947  -1.81  5.652  0.082    35.402     4.062  0.177  0.108 -0.007 -0.011 -0.003 0.109 0.100 0.169 35.004 wukong13_166070607_lesspayne_norm_EQW_params_synt
  116   4330.238    22.1 2.046  -1.64  3.313  0.088    34.009     4.548  0.151 -0.001  0.189 -0.010  0.034 0.192 0.100 0.234 18.274 wukong13_166070607_lesspayne_norm_EQW_params_synt
  117   4330.698    22.1 1.179  -2.09  3.366  0.063    65.390     2.985  0.135  0.016  0.186 -0.033  0.040 0.194 0.100 0.227 19.413 wukong13_166070607_lesspayne_norm_EQW_params_synt
  118   4331.642    28.0 1.675  -2.27  4.458  0.049    40.061     2.641  0.150  0.130  0.001 -0.016 -0.003 0.131 0.100 0.172 33.820 wukong13_166070607_lesspayne_norm_EQW_params_synt
  119   4337.046    26.0 1.556   -1.7  5.739  0.077   116.350     3.482  0.181  0.168 -0.096 -0.088 -0.024 0.214 0.100 0.248 16.210 wukong13_166070607_lesspayne_norm_EQW_params_synt
  120   4344.502    24.0 1.003  -0.65  3.606  0.075    77.529     3.144  0.150  0.147 -0.035 -0.056 -0.019 0.162 0.100 0.205 23.834 wukong13_166070607_lesspayne_norm_EQW_params_synt
  121   4350.838    22.1 2.060   -1.7  3.543  0.056    42.137     3.029  0.158 -0.002  0.187 -0.011  0.033 0.190 0.100 0.222 20.276 wukong13_166070607_lesspayne_norm_EQW_params_synt
  123   4358.501    26.0 2.947  -1.57  5.655  0.052    48.221     2.742  0.158  0.111 -0.013 -0.022 -0.005 0.114 0.100 0.160 38.904 wukong13_166070607_lesspayne_norm_EQW_params_synt
  124   4367.903    26.0 1.607  -2.88  5.788  0.053    67.009     2.524  0.154  0.151 -0.021 -0.041 -0.014 0.158 0.100 0.195 26.365 wukong13_166070607_lesspayne_norm_EQW_params_synt
  125    4375.93    26.0 0.000   -3.0  5.482  0.081   125.003     3.354  0.163  0.210 -0.106 -0.110 -0.045 0.264 0.100 0.293 11.625 wukong13_166070607_lesspayne_norm_EQW_params_synt
  127   4389.245    26.0 0.052  -4.55  5.791  0.065    74.335     2.885  0.141  0.197 -0.025 -0.050 -0.034 0.208 0.100 0.239 17.447 wukong13_166070607_lesspayne_norm_EQW_params_synt
